source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
PELAGIE,harmonized,EXT_EVAL_5,,,LifeCycle_CDM,outcome,ext_eval_5,complete,final,,eval=2;,
PELAGIE,pelagie_q2,"B304,B309,B311,B312,B316,B320,B319,B308,B317,B306,B310,B314",,,LifeCycle_CDM,outcome,ext_avg_2,partial,final,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?","array EXT{12} b304 b309 b311 b312 b316 b320 b319 b308 b317 b306 b310 b314;
EXTi=N(of EXT{*}); EXTp=EXTi/12;
if EXTp>=0.75 then do;
score_EXT2_raw=sum(of EXT{*});
score_EXT2_mean=score_EXT2_raw/EXTi;
score_EXT2_pro=round(score_EXT2_mean*12,1);
end;
else do; score_EXT2_raw=.;  score_EXT2_mean=.; score_EXT2_pro=.;
end;
array ext_raw (3) ext_raw_1-ext_raw_3;
array ext_pro (3) ext_pro_1-ext_pro_3;
array ext_mean (3) ext_avg_1-ext_avg_3;

do i=1 to 3;
if round_SDQ_age2=i then do;
ext_raw(i)=score_ext2_raw;
ext_pro(i)=score_ext2_pro;
ext_mean(i)=score_ext2_mean;
end;
end;","Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,pelagie_q2,"B304,B309,B311,B312,B316,B320,B319,B308,B317,B306,B310,B314",,,LifeCycle_CDM,outcome,ext_avg_3,partial,final,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?","array EXT{12} b304 b309 b311 b312 b316 b320 b319 b308 b317 b306 b310 b314;
EXTi=N(of EXT{*}); EXTp=EXTi/12;
if EXTp>=0.75 then do;
score_EXT2_raw=sum(of EXT{*});
score_EXT2_mean=score_EXT2_raw/EXTi;
score_EXT2_pro=round(score_EXT2_mean*12,1);
end;
else do; score_EXT2_raw=.;  score_EXT2_mean=.; score_EXT2_pro=.;
end;
array ext_raw (3) ext_raw_1-ext_raw_3;
array ext_pro (3) ext_pro_1-ext_pro_3;
array ext_mean (3) ext_avg_1-ext_avg_3;

do i=1 to 3;
if round_SDQ_age2=i then do;
ext_raw(i)=score_ext2_raw;
ext_pro(i)=score_ext2_pro;
ext_mean(i)=score_ext2_mean;
end;
end;","Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,ext_avg_5,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array EXT{10} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25 QE6_B15_5 QE6_B15_7 QE6_B15_12 QE6_B15_18 QE6_B15_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT6_raw=sum(of EXT{*});
score_EXT6_mean=score_EXT6_raw/EXTi;
score_EXT6_pro=round(score_EXT6_mean*10,1);
end;
else do; score_EXT6_raw=.;  score_EXT6_mean=.; score_EXT6_pro=.;
end;
array ext_raw (4) ext_raw_5-ext_raw_8;
array ext_pro (4) ext_pro_5-ext_pro_8;
array ext_mean (4) ext_avg_5-ext_avg_8;
do i=1 to 3;
if round_SDQ_age6=i+4 then do;
ext_raw(i)=score_ext6_raw;
ext_pro(i)=score_ext6_pro;
ext_mean(i)=score_ext6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,harmonized,EXT_EVAL_11,,,LifeCycle_CDM,outcome,ext_eval_11,complete,final,,eval=2;,
PELAGIE,harmonized,EXT_EVAL_12,,,LifeCycle_CDM,outcome,ext_eval_12,complete,final,,eval=2;,
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,ext_avg_6,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array EXT{10} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25 QE6_B15_5 QE6_B15_7 QE6_B15_12 QE6_B15_18 QE6_B15_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT6_raw=sum(of EXT{*});
score_EXT6_mean=score_EXT6_raw/EXTi;
score_EXT6_pro=round(score_EXT6_mean*10,1);
end;
else do; score_EXT6_raw=.;  score_EXT6_mean=.; score_EXT6_pro=.;
end;
array ext_raw (4) ext_raw_5-ext_raw_8;
array ext_pro (4) ext_pro_5-ext_pro_8;
array ext_mean (4) ext_avg_5-ext_avg_8;
do i=1 to 3;
if round_SDQ_age6=i+4 then do;
ext_raw(i)=score_ext6_raw;
ext_pro(i)=score_ext6_pro;
ext_mean(i)=score_ext6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,harmonized,AGGR_EVAL_7,,,ATHLETE_CDM,outcome_ath,aggr_eval_7,complete,final,,eval=2;,
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,ext_avg_7,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array EXT{10} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25 QE6_B15_5 QE6_B15_7 QE6_B15_12 QE6_B15_18 QE6_B15_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT6_raw=sum(of EXT{*});
score_EXT6_mean=score_EXT6_raw/EXTi;
score_EXT6_pro=round(score_EXT6_mean*10,1);
end;
else do; score_EXT6_raw=.;  score_EXT6_mean=.; score_EXT6_pro=.;
end;
array ext_raw (4) ext_raw_5-ext_raw_8;
array ext_pro (4) ext_pro_5-ext_pro_8;
array ext_mean (4) ext_avg_5-ext_avg_8;
do i=1 to 3;
if round_SDQ_age6=i+4 then do;
ext_raw(i)=score_ext6_raw;
ext_pro(i)=score_ext6_pro;
ext_mean(i)=score_ext6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,ext_avg_8,complete,final,,"array EXT{10} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25 QE6_B15_5 QE6_B15_7 QE6_B15_12 QE6_B15_18 QE6_B15_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT6_raw=sum(of EXT{*});
score_EXT6_mean=score_EXT6_raw/EXTi;
score_EXT6_pro=round(score_EXT6_mean*10,1);
end;
else do; score_EXT6_raw=.;  score_EXT6_mean=.; score_EXT6_pro=.;
end;
array ext_raw (4) ext_raw_5-ext_raw_8;
array ext_pro (4) ext_pro_5-ext_pro_8;
array ext_mean (4) ext_avg_5-ext_avg_8;
do i=1 to 3;
if round_SDQ_age6=i+4 then do;
ext_raw(i)=score_ext6_raw;
ext_pro(i)=score_ext6_pro;
ext_mean(i)=score_ext6_mean;
end;
end;",
PELAGIE,pelagie_q12,"VQ_Q7_2,VQ_Q7_10,VQ_Q7_15,VQ_Q7_21,VQ_Q7_25,VQ_Q7_5,VQ_Q7_7,VQ_Q7_12,VQ_Q7_18,VQ_Q7_22",,,LifeCycle_CDM,outcome,ext_avg_11,complete,final,,"array EXT{10} VQ_Q7_2 VQ_Q7_10 VQ_Q7_15 VQ_Q7_21 VQ_Q7_25 VQ_Q7_5 VQ_Q7_7 VQ_Q7_12 VQ_Q7_18 VQ_Q7_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT12_raw=sum(of EXT{*});
score_EXT12_mean=score_EXT12_raw/EXTi;
score_EXT12_pro=round(score_EXT12_mean*10,1);
end;
else do; score_EXT12_raw=.;  score_EXT12_mean=.; score_EXT12_pro=.;
end;
array ext_raw (4) ext_raw_11-ext_raw_14;
array ext_pro (4) ext_pro_11-ext_pro_14;
array ext_mean (4) ext_avg_11-ext_avg_14;
do i=1 to 4;
if round_SDQ_age12=10+i then do;
ext_raw(i)=score_ext12_raw;
ext_pro(i)=score_ext12_pro;
ext_mean(i)=score_ext12_mean;
end;
end;",
PELAGIE,pelagie_q12,"VQ_Q7_2,VQ_Q7_10,VQ_Q7_15,VQ_Q7_21,VQ_Q7_25,VQ_Q7_5,VQ_Q7_7,VQ_Q7_12,VQ_Q7_18,VQ_Q7_22",,,LifeCycle_CDM,outcome,ext_avg_12,complete,final,,"array EXT{10} VQ_Q7_2 VQ_Q7_10 VQ_Q7_15 VQ_Q7_21 VQ_Q7_25 VQ_Q7_5 VQ_Q7_7 VQ_Q7_12 VQ_Q7_18 VQ_Q7_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT12_raw=sum(of EXT{*});
score_EXT12_mean=score_EXT12_raw/EXTi;
score_EXT12_pro=round(score_EXT12_mean*10,1);
end;
else do; score_EXT12_raw=.;  score_EXT12_mean=.; score_EXT12_pro=.;
end;
array ext_raw (4) ext_raw_11-ext_raw_14;
array ext_pro (4) ext_pro_11-ext_pro_14;
array ext_mean (4) ext_avg_11-ext_avg_14;
do i=1 to 4;
if round_SDQ_age12=10+i then do;
ext_raw(i)=score_ext12_raw;
ext_pro(i)=score_ext12_pro;
ext_mean(i)=score_ext12_mean;
end;
end;",
PELAGIE,pelagie_q12,DATE,maj_ddn_2021,DDN_2021,LifeCycle_CDM,outcome,ext_age_13,complete,final,,ext_age_13=(DATE-ddn_2021)/365.2422;,
PELAGIE,pelagie_q12,"VQ_Q7_2,VQ_Q7_10,VQ_Q7_15,VQ_Q7_21,VQ_Q7_25,VQ_Q7_5,VQ_Q7_7,VQ_Q7_12,VQ_Q7_18,VQ_Q7_22",,,LifeCycle_CDM,outcome,ext_avg_13,complete,final,,"array EXT{10} VQ_Q7_2 VQ_Q7_10 VQ_Q7_15 VQ_Q7_21 VQ_Q7_25 VQ_Q7_5 VQ_Q7_7 VQ_Q7_12 VQ_Q7_18 VQ_Q7_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT12_raw=sum(of EXT{*});
score_EXT12_mean=score_EXT12_raw/EXTi;
score_EXT12_pro=round(score_EXT12_mean*10,1);
end;
else do; score_EXT12_raw=.;  score_EXT12_mean=.; score_EXT12_pro=.;
end;
array ext_raw (4) ext_raw_11-ext_raw_14;
array ext_pro (4) ext_pro_11-ext_pro_14;
array ext_mean (4) ext_avg_11-ext_avg_14;
do i=1 to 4;
if round_SDQ_age12=10+i then do;
ext_raw(i)=score_ext12_raw;
ext_pro(i)=score_ext12_pro;
ext_mean(i)=score_ext12_mean;
end;
end;",
PELAGIE,pelagie_q12,"VQ_Q7_2,VQ_Q7_10,VQ_Q7_15,VQ_Q7_21,VQ_Q7_25,VQ_Q7_5,VQ_Q7_7,VQ_Q7_12,VQ_Q7_18,VQ_Q7_22",,,LifeCycle_CDM,outcome,ext_avg_14,complete,final,,"array EXT{10} VQ_Q7_2 VQ_Q7_10 VQ_Q7_15 VQ_Q7_21 VQ_Q7_25 VQ_Q7_5 VQ_Q7_7 VQ_Q7_12 VQ_Q7_18 VQ_Q7_22;
EXTi=N(of EXT{*}); EXTp=EXTi/10;
if EXTp>=0.75 then do;
score_EXT12_raw=sum(of EXT{*});
score_EXT12_mean=score_EXT12_raw/EXTi;
score_EXT12_pro=round(score_EXT12_mean*10,1);
end;
else do; score_EXT12_raw=.;  score_EXT12_mean=.; score_EXT12_pro=.;
end;
array ext_raw (4) ext_raw_11-ext_raw_14;
array ext_pro (4) ext_pro_11-ext_pro_14;
array ext_mean (4) ext_avg_11-ext_avg_14;
do i=1 to 4;
if round_SDQ_age12=10+i then do;
ext_raw(i)=score_ext12_raw;
ext_pro(i)=score_ext12_pro;
ext_mean(i)=score_ext12_mean;
end;
end;",
PELAGIE,harmonized,EXT_PRO_1,,,LifeCycle_CDM,outcome,ext_pc_1,partial,final,"Percentile variables were generated only for years where information on prorated score was available for more than 10 children.

Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?","CPT2$ext_pc_1<-xtile(CPT2$ext_pro_1, n=100)","Percentile variables were generated only for years where information on prorated score was available for more than 10 children.

Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,EXT_EVAL_13,,,LifeCycle_CDM,outcome,ext_eval_13,complete,final,,eval=2;,
PELAGIE,harmonized,EXT_PRO_2,,,LifeCycle_CDM,outcome,ext_pc_2,partial,final,"Percentile variables were generated only for years where information on prorated score was available for more than 10 children

Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?","CPT2$ext_pc_2<-xtile(CPT2$ext_pro_2, n=100)","Percentile variables were generated only for years where information on prorated score was available for more than 10 children

Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,ADHD_INSTR_12,,,LifeCycle_CDM,outcome,adhd_instr_12,complete,final,,instr=47;,
PELAGIE,harmonized,BIOMES_0,,,LifeCycle_CDM,outcome,biomes_146,complete,final,,biomes_146=0;,
PELAGIE,harmonized,EXT_INSTR_1,,,LifeCycle_CDM,outcome,ext_instr_1,partial,final,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,AGGR_EVAL_12,,,ATHLETE_CDM,outcome_ath,aggr_eval_12,complete,final,,eval=2;,
PELAGIE,pepsy,WISCC,,,LifeCycle_CDM,outcome,nvi_raw_5,partial,final,Only the CUBES task to assess perceptive reasoning,"array NV{1} WISCc; NVi=N(of NV{*}); NVp=NVi/1; if NVp>=0.75 then do;
NV12_raw=sum(of NV{*});
NV12_mean=NV12_raw/NVi;
NV12_pro=round(NV12_mean*1,1);
end;",Only the CUBES task to assess perceptive reasoning
PELAGIE,harmonized,EXT_INSTR_2,,,LifeCycle_CDM,outcome,ext_instr_2,partial,final,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,EXT_INSTR_3,,,LifeCycle_CDM,outcome,ext_instr_3,partial,final,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?",instr=13;,"Partial CBCL scale: (1) how often would you say that your child has been unable to stay put, or has been restless or hyperactive?
(2) how often would you say that your child has been rebellious or refused to obey?
(3) how often would you say your child has been in a fight?
(4) how often would you say that your child was easily distracted, or had difficulty pursuing any activity?
(5) how often would you say that your child did not seem to feel remorse after misbehaving?
(6) how often would you say your child has constantly fidgeted?
(7) how often would you say that your child has been unable to concentrate, or maintain attention for a long period?
(8) how often would you say that your child has not changed their behaviour after being punished?
(9) how often would you say that your child has had difficulty waiting for their turn in a game?
(10)  how often would you say your child has physically attacked others?
(11)  how often would you say that your child has hit, bitten or kicked other children?
(12)  how often would you say your child has been inattentive/distracted?"
PELAGIE,harmonized,EXT_INSTR_5,,,LifeCycle_CDM,outcome,ext_instr_5,complete,final,,instr=47;,
AP,AP,iduni,,,OOM_CDM,MEDICAL_OBSERVATIONS,person_id,complete,,,,
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,adhd_raw_5,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array HY{5} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25;
HYi=N(of HY{*}); HYp=HYi/5;
if HYp>=0.75 then do;
score_HY6_raw=sum(of HY{*});
score_HY6_mean=score_HY6_raw/HYi;
score_HY6_pro=round(score_HY6_mean*5,1);
end;
else do; score_H6_raw=.;  score_HY6_mean=.; score_HY6_pro=.;
end;
array adhd_raw (4) adhd_raw_5-adhd_raw_8;
array adhd_pro (4) adhd_pro_5-adhd_pro_8;
array adhd_mean (4) adhd_avg_5-adhd_avg_8;

do i=1 to 4;
if round_SDQ_age6=i+4 then do;
adhd_raw(i)=score_HY6_raw;
adhd_pro(i)=score_HY6_pro;
adhd_mean(i)=score_HY6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,adhd_raw_6,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array HY{5} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25;
HYi=N(of HY{*}); HYp=HYi/5;
if HYp>=0.75 then do;
score_HY6_raw=sum(of HY{*});
score_HY6_mean=score_HY6_raw/HYi;
score_HY6_pro=round(score_HY6_mean*5,1);
end;
else do; score_H6_raw=.;  score_HY6_mean=.; score_HY6_pro=.;
end;
array adhd_raw (4) adhd_raw_5-adhd_raw_8;
array adhd_pro (4) adhd_pro_5-adhd_pro_8;
array adhd_mean (4) adhd_avg_5-adhd_avg_8;

do i=1 to 4;
if round_SDQ_age6=i+4 then do;
adhd_raw(i)=score_HY6_raw;
adhd_pro(i)=score_HY6_pro;
adhd_mean(i)=score_HY6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,adhd_raw_7,complete,final,data collected at the 6-year-old follow-up and concerns food allergy since birth,"array HY{5} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25;
HYi=N(of HY{*}); HYp=HYi/5;
if HYp>=0.75 then do;
score_HY6_raw=sum(of HY{*});
score_HY6_mean=score_HY6_raw/HYi;
score_HY6_pro=round(score_HY6_mean*5,1);
end;
else do; score_H6_raw=.;  score_HY6_mean=.; score_HY6_pro=.;
end;
array adhd_raw (4) adhd_raw_5-adhd_raw_8;
array adhd_pro (4) adhd_pro_5-adhd_pro_8;
array adhd_mean (4) adhd_avg_5-adhd_avg_8;

do i=1 to 4;
if round_SDQ_age6=i+4 then do;
adhd_raw(i)=score_HY6_raw;
adhd_pro(i)=score_HY6_pro;
adhd_mean(i)=score_HY6_mean;
end;
end;",data collected at the 6-year-old follow-up and concerns food allergy since birth
PELAGIE,pelagie_q6,"QE6_B15_2,QE6_B15_10,QE6_B15_15,QE6_B15_21,QE6_B15_25,QE6_B15_5,QE6_B15_7,QE6_B15_12,QE6_B15_18,QE6_B15_22",,,LifeCycle_CDM,outcome,adhd_raw_8,complete,final,,"array HY{5} QE6_B15_2 QE6_B15_10 QE6_B15_15 QE6_B15_21 QE6_B15_25;
HYi=N(of HY{*}); HYp=HYi/5;
if HYp>=0.75 then do;
score_HY6_raw=sum(of HY{*});
score_HY6_mean=score_HY6_raw/HYi;
score_HY6_pro=round(score_HY6_mean*5,1);
end;
else do; score_H6_raw=.;  score_HY6_mean=.; score_HY6_pro=.;
end;
array adhd_raw (4) adhd_raw_5-adhd_raw_8;
array adhd_pro (4) adhd_pro_5-adhd_pro_8;
array adhd_mean (4) adhd_avg_5-adhd_avg_8;

do i=1 to 4;
if round_SDQ_age6=i+4 then do;
adhd_raw(i)=score_HY6_raw;
adhd_pro(i)=score_HY6_pro;
adhd_mean(i)=score_HY6_mean;
end;
end;",
