resource,dataset,name,collection event,topics,label,format,unit,mandatory,description,example values,notes
ALSPAC,core,kp7100c,,,DV: Age of study child at measurement 1 (weeks),continuous,week,,Age of child in weeks at head circumferance measurement 1,,,
ALSPAC,core,kp7101b,,,"Age of child at completion, mean age at 75 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,kp7101c,,,DV: Age of study child at measurement 2 (weeks),continuous,week,,Age of child in weeks at head circumferance measurement 2,,,
ALSPAC,core,kq024,,,A3l: CH Had Wheezing In Past Year,categorical,,,Maternal report of child wheeze in the past 12 months,,,
ALSPAC,core,kq035,,,A3w: CH Had Eczema In Past Year,categorical,,,Maternal report of child eczema in the past 12 months,,,
ALSPAC,core,kq070,,,A6a: CH Had Periods Of Wheezing And Whistling On Chest in past year,binary,,,Maternal report of child wheezing or whistling in the past 12 months,,,
ALSPAC,core,kq090,,,A7a: CH Had Itchy/Dry Skin Rash In Past Year,binary,,,Maternal report of child itchy rash in the past 12 months,,,
ALSPAC,core,kq100,,,A8a: CH Had Itchy/Dry Rash On Hands In Past Year,binary,,,Maternal report of child itchy rash on hands in the past 12 months,,,
ALSPAC,core,kq101,,,A8b: CH Had Itchy/Dry Rash On Feet In Past Year,binary,,,Maternal report of child itchy rash on feet in the past 12 months,,,
ALSPAC,core,kq185,,,A18f: CH Had Whooping Cough In Past Year,binary,,,Maternal report of child whooping cough in the past 12 months,,,
ALSPAC,core,kq188,,,A18i: CH Had Ear Infection In Past Year,binary,,,Maternal report of child ear infection in the past 12 months,,,
ALSPAC,core,kq189,,,A18j: CH Had Chest Infection In Past Year,binary,,,Maternal report of child chest infection in the past 12 months,,,
ALSPAC,core,kq321,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,kq322,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,kq324,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,kq325,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,kq326,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,kq327,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,kq329,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,kq330,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,kq331,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,kq332,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,kq333,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,kq334,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,kq335,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,kq337,,,SDQ: Child often cheats or lies,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,kq338,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,kq340,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,kq341,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,kq342,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,kq343,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,kq344,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,kq685,,,G4a: CH Has Midday Meal At School,categorical,,,G4a: CH Has Midday Meal At School,,,
ALSPAC,core,kq686,,,G4b: How Often CH Has Midday Meal At School,categorical,,,G4b: How Often CH Has Midday Meal At School,,,
ALSPAC,core,kq690,,,G4c1: How Much Main Part Of Meal CH Eats At Sch,categorical,,,G4c1: How Much Main Part Of Meal CH Eats At Sch,,,
ALSPAC,core,kq691,,,G4c2: How Much Potato CH Eats At School,categorical,,,G4c2: How Much Potato CH Eats At School,,,
ALSPAC,core,kq692,,,G4c3: How Much Cooked Veg CH Eats At School,categorical,,,G4c3: How Much Cooked Veg CH Eats At School,,,
ALSPAC,core,kq693,,,G4c4: How Much Salad CH Eats At School,categorical,,,G4c4: How Much Salad CH Eats At School,,,
ALSPAC,core,kq694,,,G4c5: How Much Rice/Pasta CH Eats At School,categorical,,,G4c5: How Much Rice/Pasta CH Eats At School,,,
ALSPAC,core,kq695,,,G4c6: How Much Pudding CH Eats At School,categorical,,,G4c6: How Much Pudding CH Eats At School,,,
ALSPAC,core,kq698,,,G4e: Freq CH Has Packed Lunch,categorical,,,G4e: Freq CH Has Packed Lunch,,,
ALSPAC,core,kq700,,,G4f1: Pack Lunch: Amount Sandwiches CH Eats,categorical,,,G4f1: Pack Lunch: Amount Sandwiches CH Eats,,,
ALSPAC,core,kq701,,,G4f2: Pack Lunch: Amount Pie/Pizza CH Eats,categorical,,,G4f2: Pack Lunch: Amount Pie/Pizza CH Eats,,,
ALSPAC,core,kq702,,,G4f3: Pack Lunch: Amount Crisps CH Eats,categorical,,,G4f3: Pack Lunch: Amount Crisps CH Eats,,,
ALSPAC,core,kq703,,,G4f4: Pack Lunch: Amount Fruit CH Eats,categorical,,,G4f4: Pack Lunch: Amount Fruit CH Eats,,,
ALSPAC,core,kq704,,,G4f5: Pack Lunch: Amount Yoghurt CH Eats,categorical,,,G4f5: Pack Lunch: Amount Yoghurt CH Eats,,,
ALSPAC,core,kq705,,,G4f6: Pack Lunch: Amount Biscuit/Cake CH Eats,categorical,,,G4f6: Pack Lunch: Amount Biscuit/Cake CH Eats,,,
ALSPAC,core,kq706,,,G4f7: Pack Lunch: Amount Choc/Sweets CH Eats,categorical,,,G4f7: Pack Lunch: Amount Choc/Sweets CH Eats,,,
ALSPAC,core,kq714,,,G5a3: Times/Month CH Eats In Cafe/Rest - Term,integer,unit,,G5a3: Times/Month CH Eats In Cafe/Rest - Term,,,
ALSPAC,core,kq715,,,G5b3: Times/Month CH Eats In Cafe/Rest - Hol,integer,unit,,G5b3: Times/Month CH Eats In Cafe/Rest - Hol,,,
ALSPAC,core,kq720,,,G6a: Freq CH Eats Sausages or Burgers,categorical,,,G6a: Freq CH Eats Sausages or Burgers,,,
ALSPAC,core,kq721,,,G6b: Freq CH Eats Meat Pies/Pasties,categorical,,,G6b: Freq CH Eats Meat Pies/Pasties,,,
ALSPAC,core,kq722,,,G6c: Freq CH Eats Vegetarian Pies/Pasties,categorical,,,G6c: Freq CH Eats Vegetarian Pies/Pasties,,,
ALSPAC,core,kq723,,,"G6d: Freq CH Eats Ham,Bacon,Pate,Cold Meats",categorical,,,"G6d: Freq CH Eats Ham,Bacon,Pate,Cold Meats",,,
ALSPAC,core,kq724,,,"G6e: Freq CH Eats Meat Roast,Chops,Stew,Curry",categorical,,,"G6e: Freq CH Eats Meat Roast,Chops,Stew,Curry",,,
ALSPAC,core,kq725,,,"G6f: Freq CH Eats Liver, Kidney, Heart",categorical,,,"G6f: Freq CH Eats Liver, Kidney, Heart",,,
ALSPAC,core,kq726,,,G6g: Freq CH Eats Coated Chicken/Turkey,categorical,,,G6g: Freq CH Eats Coated Chicken/Turkey,,,
ALSPAC,core,kq727,,,G6h: Freq CH Eats Poultry,categorical,,,G6h: Freq CH Eats Poultry,,,
ALSPAC,core,kq728,,,G6i: Freq CH Eats Shellfish,categorical,,,G6i: Freq CH Eats Shellfish,,,
ALSPAC,core,kq729,,,G6j: Freq CH Eats White Fish In Breadcrumbs,categorical,,,G6j: Freq CH Eats White Fish In Breadcrumbs,,,
ALSPAC,core,kq730,,,G6k: Freq CH Eats Uncoated White Fish,categorical,,,G6k: Freq CH Eats Uncoated White Fish,,,
ALSPAC,core,kq731,,,G6l: Freq CH Eats Tuna,categorical,,,G6l: Freq CH Eats Tuna,,,
ALSPAC,core,kq732,,,G6m: Freq CH Eats Other Fish,categorical,,,G6m: Freq CH Eats Other Fish,,,
ALSPAC,core,kq733,,,"G6n: Freq CH Eats Eggs,Quiche, Omelette",categorical,,,"G6n: Freq CH Eats Eggs,Quiche, Omelette",,,
ALSPAC,core,kq734,,,G6o: Freq CH Eats Cheese,categorical,,,G6o: Freq CH Eats Cheese,,,
ALSPAC,core,kq735,,,G6p: Freq CH Eats Pizza,categorical,,,G6p: Freq CH Eats Pizza,,,
ALSPAC,core,kq736,,,G6q: Freq CH Eats Oven Chips,categorical,,,G6q: Freq CH Eats Oven Chips,,,
ALSPAC,core,kq737,,,"G6r: Freq CH Eats Fried Chips, Croquettes",categorical,,,"G6r: Freq CH Eats Fried Chips, Croquettes",,,
ALSPAC,core,kq738,,,G6s: Freq CH Eats Roast Potatoes,categorical,,,G6s: Freq CH Eats Roast Potatoes,,,
ALSPAC,core,kq739,,,G6t: Freq CH Eats Boiled/Mash/Jacket Potato,categorical,,,G6t: Freq CH Eats Boiled/Mash/Jacket Potato,,,
ALSPAC,core,kq740,,,G6u: Freq CH Eats Boiled/Fried Rice,categorical,,,G6u: Freq CH Eats Boiled/Fried Rice,,,
ALSPAC,core,kq741,,,G6v: Freq CH Eats Canned Pasta,categorical,,,G6v: Freq CH Eats Canned Pasta,,,
ALSPAC,core,kq742,,,G6w: Freq CH Eats Boiled Pasta,categorical,,,G6w: Freq CH Eats Boiled Pasta,,,
ALSPAC,core,kq747,,,G8a: Freq CH Eats Baked Beans,categorical,,,G8a: Freq CH Eats Baked Beans,,,
ALSPAC,core,kq748,,,G8b: Freq CH Eats Peas/Broad Beans,categorical,,,G8b: Freq CH Eats Peas/Broad Beans,,,
ALSPAC,core,kq749,,,G8c: Freq CH Eats Sweetcorn,categorical,,,G8c: Freq CH Eats Sweetcorn,,,
ALSPAC,core,kq750,,,G8d: Freq CH Eats Dark Green Leafy Veg,categorical,,,G8d: Freq CH Eats Dark Green Leafy Veg,,,
ALSPAC,core,kq751,,,G8e: Freq CH Eats Other Green Veg,categorical,,,G8e: Freq CH Eats Other Green Veg,,,
ALSPAC,core,kq752,,,G8f: Freq CH Eats Carrots,categorical,,,G8f: Freq CH Eats Carrots,,,
ALSPAC,core,kq753,,,G8g: Freq CH Eats Other Root Veg,categorical,,,G8g: Freq CH Eats Other Root Veg,,,
ALSPAC,core,kq754,,,G8h: FreqCH Eats Tomatoes,categorical,,,G8h: FreqCH Eats Tomatoes,,,
ALSPAC,core,kq755,,,G8i: Freq CH Eats Salad,categorical,,,G8i: Freq CH Eats Salad,,,
ALSPAC,core,kq756,,,G8j: Freq CH Eats Pulses/Pulse Dishes,categorical,,,G8j: Freq CH Eats Pulses/Pulse Dishes,,,
ALSPAC,core,kq757,,,G8k: Freq CH Eats Soya Meat/TVP,categorical,,,G8k: Freq CH Eats Soya Meat/TVP,,,
ALSPAC,core,kq758,,,G8l: Freq CH Eats Peanuts/Peanut Butter,categorical,,,G8l: Freq CH Eats Peanuts/Peanut Butter,,,
ALSPAC,core,kq759,,,G8m: Freq CH Eats Other Nuts,categorical,,,G8m: Freq CH Eats Other Nuts,,,
ALSPAC,core,kq760,,,G8n: Freq CH Eats Fresh Citrus Fruits,categorical,,,G8n: Freq CH Eats Fresh Citrus Fruits,,,
ALSPAC,core,kq761,,,G8o: Freq CH Eats Other Fresh Fruit,categorical,,,G8o: Freq CH Eats Other Fresh Fruit,,,
ALSPAC,core,kq762,,,G8p: Freq CH Eats Canned Fruit,categorical,,,G8p: Freq CH Eats Canned Fruit,,,
ALSPAC,core,kq763,,,G8q: Freq CH Eats Yoghurt/Fromage Frais,categorical,,,G8q: Freq CH Eats Yoghurt/Fromage Frais,,,
ALSPAC,core,kq764,,,G8r: Freq CH Eats Milk Puddings,categorical,,,G8r: Freq CH Eats Milk Puddings,,,
ALSPAC,core,kq765,,,G8s: Freq CH Eats Ice Cream,categorical,,,G8s: Freq CH Eats Ice Cream,,,
ALSPAC,core,kq766,,,G8t: Freq CH Eats Ice Lollies,categorical,,,G8t: Freq CH Eats Ice Lollies,,,
ALSPAC,core,kq767,,,G8u: Freq CH Eats Pudding,categorical,,,G8u: Freq CH Eats Pudding,,,
ALSPAC,core,kq768,,,G8v: Freq CH Eats Custard/Cream/Evap,categorical,,,G8v: Freq CH Eats Custard/Cream/Evap,,,
ALSPAC,core,kq769,,,G8w: Freq CH Eats Cakes Or Buns,categorical,,,G8w: Freq CH Eats Cakes Or Buns,,,
ALSPAC,core,kq770,,,G8x: Freq CH Eats Crispbreads,categorical,,,G8x: Freq CH Eats Crispbreads,,,
ALSPAC,core,kq773,,,G9b: Freq CH Eats Oat Cereals,categorical,,,G9b: Freq CH Eats Oat Cereals,,,
ALSPAC,core,kq774,,,G9c: Freq CH Eats Wholegrain/Bran Cereal,categorical,,,G9c: Freq CH Eats Wholegrain/Bran Cereal,,,
ALSPAC,core,kq775,,,G9d: Freq CH Eats Other Cereals,categorical,,,G9d: Freq CH Eats Other Cereals,,,
ALSPAC,core,kq783,,,G10d: Times A Week CH Has Milk On Cereal,integer,unit,,G10d: Times A Week CH Has Milk On Cereal,,,
ALSPAC,core,kq785,,,G11a: Freq CH Eats Crisps/Corn Snacks,categorical,,,G11a: Freq CH Eats Crisps/Corn Snacks,,,
ALSPAC,core,kq786,,,G11b: Freq CH Eats Full Coat Choc Biscuits,categorical,,,G11b: Freq CH Eats Full Coat Choc Biscuits,,,
ALSPAC,core,kq787,,,G11c: Freq CH Eats Other Biscuits,categorical,,,G11c: Freq CH Eats Other Biscuits,,,
ALSPAC,core,kq788,,,G11d: Freq CH Eats Chocolate Bars/Buttons,categorical,,,G11d: Freq CH Eats Chocolate Bars/Buttons,,,
ALSPAC,core,kq789,,,G11e: Freq CH Eats Sweets,categorical,,,G11e: Freq CH Eats Sweets,,,
ALSPAC,core,kq795,,,G14a: Freq CH Drinks Fruit Juice From Tin,categorical,,,G14a: Freq CH Drinks Fruit Juice From Tin,,,
ALSPAC,core,kq796,,,G14b: Freq CH Drinks Pure Fruit Juice,categorical,,,G14b: Freq CH Drinks Pure Fruit Juice,,,
ALSPAC,core,kq797,,,G14c: Freq CH Drinks Squash/Fruit Drinks,categorical,,,G14c: Freq CH Drinks Squash/Fruit Drinks,,,
ALSPAC,core,kq798,,,G14d: Freq CH Drinks Cola Drinks,categorical,,,G14d: Freq CH Drinks Cola Drinks,,,
ALSPAC,core,kq799,,,G14e: Freq CH Drinks Other Fizzy Drinks,categorical,,,G14e: Freq CH Drinks Other Fizzy Drinks,,,
ALSPAC,core,kq801,,,G14g: Freq CH Drinks Milk,categorical,,,G14g: Freq CH Drinks Milk,,,
ALSPAC,core,kq802,,,G14h: Freq CH Drinks Flavoured Milk Drinks,categorical,,,G14h: Freq CH Drinks Flavoured Milk Drinks,,,
ALSPAC,core,kq808a,,,G17a: Freq CH Eats White Bread,categorical,,,G17a: Freq CH Eats White Bread,,,
ALSPAC,core,kq808b,,,G17b: Freq CH Eats Soft Grain White Bread,categorical,,,G17b: Freq CH Eats Soft Grain White Bread,,,
ALSPAC,core,kq808c,,,G17c: Freq CH Eats Brown/Granary Bread,categorical,,,G17c: Freq CH Eats Brown/Granary Bread,,,
ALSPAC,core,kq808d,,,G17d: Freq CH Eats Wholemeal Bread,categorical,,,G17d: Freq CH Eats Wholemeal Bread,,,
ALSPAC,core,kq808e,,,G17e: Freq CH Eats Chappatis/Pitta Bread,categorical,,,G17e: Freq CH Eats Chappatis/Pitta Bread,,,
ALSPAC,core,kq808f,,,G17f: Freq CH Eats Naan Bread,categorical,,,G17f: Freq CH Eats Naan Bread,,,
ALSPAC,core,kq811,,,G18a: No. Slices Of Bread/Rolls/Chap CH Eats,categorical,,,G18a: No. Slices Of Bread/Rolls/Chap CH Eats,,,
ALSPAC,core,kq820a,,,G20a: CH Has Full Fat Milk,categorical,,,G20a: CH Has Full Fat Milk,,,
ALSPAC,core,kq820b,,,G20b: CH Has Semi-Skinned Milk,categorical,,,G20b: CH Has Semi-Skinned Milk,,,
ALSPAC,core,kq820c,,,G20c: CH Has Skimmed Milk,categorical,,,G20c: CH Has Skimmed Milk,,,
ALSPAC,core,kq820d,,,G20d: CH Has Dried Milk,categorical,,,G20d: CH Has Dried Milk,,,
ALSPAC,core,kq820e,,,G20e: CH Has Goats/Sheep Milk,categorical,,,G20e: CH Has Goats/Sheep Milk,,,
ALSPAC,core,kq820f,,,G20f: CH Has Soya Milk,categorical,,,G20f: CH Has Soya Milk,,,
ALSPAC,core,kq820g,,,G20g: CH Has Other Milk,categorical,,,G20g: CH Has Other Milk,,,
ALSPAC,core,kq824,,,G22b: No. Cups Tea CH Drinks Per Day,integer,unit,,G22b: No. Cups Tea CH Drinks Per Day,,,
ALSPAC,core,kq827,,,G22e: Amount Milk CH Has In Tea,categorical,,,G22e: Amount Milk CH Has In Tea,,,
ALSPAC,core,kq831,,,G23b: No. Cups Coffee CH Drinks Per Day,integer,unit,,G23b: No. Cups Coffee CH Drinks Per Day,,,
ALSPAC,core,kq836,,,G23g: Amount Of Milk CH Has In Coffee,categorical,,,G23g: Amount Of Milk CH Has In Coffee,,,
ALSPAC,core,kq887,,,DV: Daily carbohydrate intake (g) from FFQ at 7years Version 2,continuous,gram,,DV: Daily carbohydrate intake (g) from FFQ at 7years Version 2,,,
ALSPAC,core,kq890,,,DV: Daily energy intake (kJ) from FFQ at 7years Version 2,continuous,kJ,,DV: Daily energy intake (kJ) from FFQ at 7years Version 2,,,
ALSPAC,core,kq891,,,DV: Daily fat intake (g) from FFQ at 7years Version 2,continuous,gram,,DV: Daily fat intake (g) from FFQ at 7years Version 2,,,
ALSPAC,core,kq906,,,DV: Daily protein intake (g) from FFQ at 7years Version,continuous,gram,,DV: Daily protein intake (g) from FFQ at 7years Version,,,
ALSPAC,core,kq911,,,DV: Daily sodium intake (mg) from FFQ at 7years Version 2,continuous,mg,,DV: Daily sodium intake (mg) from FFQ at 7years Version 2,,,
ALSPAC,core,kq998a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,core,kq998b,,,DV: Age of child at completion (weeks),continuous,week,,Child's age,,,
ALSPAC,core,kr030a,,,DV: Child had a rash in past 12 months (Y/N),binary,,,Maternal report of child rash in the past 12 months,,,
ALSPAC,core,kr031,,,A3l: Child had wheezing in past 12 months,categorical,,,Maternal report of child wheeze in the past 12 months,,,
ALSPAC,core,kr042,,,A3w: Child had eczema in past 12 months,categorical,,,Maternal report of child eczema in the past 12 months,,,
ALSPAC,core,kr050,,,A4: Doctor has ever said child has asthma,binary,,,Maternal report of child diagnosis of asthma by doctor,,,
ALSPAC,core,kr056,,,A5f: Child had whooping cough in past 12 months,binary,,,Maternal report of child whooping cough in the past 12 months,,,
ALSPAC,core,kr059,,,A5i: Child had an ear infection in past 12 months,binary,,,Maternal report of child ear infection in the past 12 months,,,
ALSPAC,core,kr060,,,A5j: Child had a chest infection in past 12 months,binary,,,Maternal report of child chest infection in the past 12 months,,,
ALSPAC,core,kr061,,,A5k: Child had tonsillitis/laryngitis in past 12 months,binary,,,Maternal report of child tonsilitis in the past 12 months,,,
ALSPAC,core,kr105a,,,DV: Child had asthma medicine in past 12 months,categorical,,,Maternal report of child taking asthma medication in past 12 months,,,
ALSPAC,core,kr539,,,SCDC: Child was unaware of other people's feelings over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr540,,,SCDC: Child did not realise when others were upset/angry over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr541,,,SCDC: Child did not notice the effect of own behaviour on other family members over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr542,,,SCDC: Child's behaviour often disrupted normal family life over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr543,,,SCDC: Child was very demanding of other people's time over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr544,,,SCDC: Child was difficult to reason with when upset over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr545,,,SCDC: Child did not seem to understand social skills over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr546,,,SCDC: Child did not pick up on body language over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr547,,,SCDC: Child did not understand how to behave when out over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr548,,,SCDC: Child did not realise people were offended by own behaviour over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr549,,,SCDC: Child did not respond when told to do something over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr550,,,SCDC: Child did not follow commands unless carefully worded over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,core,kr991a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,core,ks1031,,,A3l: Child had wheezing in past year,categorical,,,Maternal report of child wheeze in the past 12 months,,,
ALSPAC,core,ks1042,,,A3w: Child had eczema in past year,categorical,,,Maternal report of child eczema in the past 12 months,,,
ALSPAC,core,ks1055,,,A4f: Child had whooping cough in past year,binary,,,Maternal report of child whooping cough in the past 12 months,,,
ALSPAC,core,ks1058,,,A4i: Child had ear infection in past year,binary,,,Maternal report of child ear infection in the past 12 months,,,
ALSPAC,core,ks1059,,,A4j: Child had chest infection in past year,binary,,,Maternal report of child chest infection in the past 12 months,,,
ALSPAC,core,ks1060,,,A4k: Child had tonsillitis/laryngitis in past year,binary,,,Maternal report of tonsillitis/laryngitis in past year,,,
ALSPAC,core,ks1260,,,A10a: Child suffered wheezing with whistling on chest in past year,categorical,,,Maternal report of child wheezing or whistling in the past 12 months,,,
ALSPAC,core,ks1280,,,"A11a: Child had itchy, dry skin rash in the joints/creases of body",binary,,,Maternal report of child itchy rash in joints or creases of body,,,
ALSPAC,core,ks1290,,,"A12a: Child had itchy, dry skin rash on hands in past year",binary,,,Maternal report of child itchy rash on hands in the past 12 months,,,
ALSPAC,core,ks1291,,,"A12b: Child had itchy, dry skin rash on feet in past year",binary,,,Maternal report of child itchy rash on feet in the past 12 months,,,
ALSPAC,core,kt1210,,,A8i: During weekdays number of hours child in a smoky room,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekdays),,,
ALSPAC,core,kt1211,,,A8ii: During weekend days number of hours child in a smoky room,categorical,,,Please indicate how often during the day your child is in a room or enclosed place where people are smoking (weekend),,,
ALSPAC,core,kt991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,ku681,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,ku682,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,ku684,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,ku685,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,ku686,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,ku687,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,ku689,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,ku690,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,ku691,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,ku692,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,ku693,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,ku694,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,ku695,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,ku697,,,SDQ: Child often cheats or lies,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,ku698,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,ku700,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,ku701,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,core,ku702,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,core,ku703,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,core,ku704,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,core,ku781b,,,"Age of child at completion, mean age at 110 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,ku782,,,Weight at 110 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,core,ku783,,,Height at 110 months,continuous,cm,,Maternal reported height,,,
ALSPAC,core,ku786b,,,"Age of child at completion, mean age at 105 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,ku787,,,Weight at 105 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,core,ku788,,,Height at 105 months,continuous,cm,,Maternal reported height,,,
ALSPAC,core,ku791b,,,"Age of child at completion, mean age at 108 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,ku792,,,Weight at 108 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,core,ku793,,,Height at 108 months,continuous,cm,,Maternal reported height,,,
ALSPAC,core,ku796b,,,"Age of child at completion, mean age at 111 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,core,ku797,,,Weight at 111 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,core,ku798,,,Height at 111 months,continuous,cm,,Maternal reported height,,,
ALSPAC,core,ku991a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,core,kv1025,,,A3f: Child had whooping cough in past year,binary,,,Maternal report of child whooping cough in the past 12 months,,,
