order,name,label,codesystem,code,definition,ontologyTermURI
,RPS27P4,RPS27P4,HGNC,HGNC:16694,ribosomal protein S27 pseudogene 4,https://identifiers.org/hgnc:16694
,RPS27P5,RPS27P5,HGNC,HGNC:36734,ribosomal protein S27 pseudogene 5,https://identifiers.org/hgnc:36734
,RPS27P6,RPS27P6,HGNC,HGNC:36163,ribosomal protein S27 pseudogene 6,https://identifiers.org/hgnc:36163
,RPS27P7,RPS27P7,HGNC,HGNC:35622,ribosomal protein S27 pseudogene 7,https://identifiers.org/hgnc:35622
,RPS27P8,RPS27P8,HGNC,HGNC:36022,ribosomal protein S27 pseudogene 8,https://identifiers.org/hgnc:36022
,RPS27P9,RPS27P9,HGNC,HGNC:36964,ribosomal protein S27 pseudogene 9,https://identifiers.org/hgnc:36964
,RPS27P10,RPS27P10,HGNC,HGNC:35961,ribosomal protein S27 pseudogene 10,https://identifiers.org/hgnc:35961
,RPS27P11,RPS27P11,HGNC,HGNC:36014,ribosomal protein S27 pseudogene 11,https://identifiers.org/hgnc:36014
,RPS27P12,RPS27P12,HGNC,HGNC:35843,ribosomal protein S27 pseudogene 12,https://identifiers.org/hgnc:35843
,RPS27P13,RPS27P13,HGNC,HGNC:36203,ribosomal protein S27 pseudogene 13,https://identifiers.org/hgnc:36203
,RPS27P14,RPS27P14,HGNC,HGNC:35923,ribosomal protein S27 pseudogene 14,https://identifiers.org/hgnc:35923
,RPS27P15,RPS27P15,HGNC,HGNC:35863,ribosomal protein S27 pseudogene 15,https://identifiers.org/hgnc:35863
,RPS27P16,RPS27P16,HGNC,HGNC:36560,ribosomal protein S27 pseudogene 16,https://identifiers.org/hgnc:36560
,RPS27P17,RPS27P17,HGNC,HGNC:36291,ribosomal protein S27 pseudogene 17,https://identifiers.org/hgnc:36291
,RPS27P18,RPS27P18,HGNC,HGNC:36296,ribosomal protein S27 pseudogene 18,https://identifiers.org/hgnc:36296
,RPS27P19,RPS27P19,HGNC,HGNC:36094,ribosomal protein S27 pseudogene 19,https://identifiers.org/hgnc:36094
,RPS27P20,RPS27P20,HGNC,HGNC:36333,ribosomal protein S27 pseudogene 20,https://identifiers.org/hgnc:36333
,RPS27P21,RPS27P21,HGNC,HGNC:35826,ribosomal protein S27 pseudogene 21,https://identifiers.org/hgnc:35826
,RPS27P22,RPS27P22,HGNC,HGNC:36090,ribosomal protein S27 pseudogene 22,https://identifiers.org/hgnc:36090
,RPS27P23,RPS27P23,HGNC,HGNC:35716,ribosomal protein S27 pseudogene 23,https://identifiers.org/hgnc:35716
,RPS27P24,RPS27P24,HGNC,HGNC:37005,ribosomal protein S27 pseudogene 24,https://identifiers.org/hgnc:37005
,RPS27P25,RPS27P25,HGNC,HGNC:36020,ribosomal protein S27 pseudogene 25,https://identifiers.org/hgnc:36020
,RPS27P26,RPS27P26,HGNC,HGNC:36904,ribosomal protein S27 pseudogene 26,https://identifiers.org/hgnc:36904
,RPS27P27,RPS27P27,HGNC,HGNC:36043,ribosomal protein S27 pseudogene 27,https://identifiers.org/hgnc:36043
,RPS27P28,RPS27P28,HGNC,HGNC:36748,ribosomal protein S27 pseudogene 28,https://identifiers.org/hgnc:36748
,RPS27P29,RPS27P29,HGNC,HGNC:36516,ribosomal protein S27 pseudogene 29,https://identifiers.org/hgnc:36516
,RPS27P30,RPS27P30,HGNC,HGNC:56416,ribosomal protein S27 pseudogene 30,https://identifiers.org/hgnc:56416
,RPS28,RPS28,HGNC,HGNC:10418,ribosomal protein S28,https://identifiers.org/hgnc:10418
,RPS28P1,RPS28P1,HGNC,HGNC:23561,ribosomal protein S28 pseudogene 1,https://identifiers.org/hgnc:23561
,RPS28P2,RPS28P2,HGNC,HGNC:36211,ribosomal protein S28 pseudogene 2,https://identifiers.org/hgnc:36211
,RPS28P3,RPS28P3,HGNC,HGNC:36589,ribosomal protein S28 pseudogene 3,https://identifiers.org/hgnc:36589
,RPS28P4,RPS28P4,HGNC,HGNC:36208,ribosomal protein S28 pseudogene 4,https://identifiers.org/hgnc:36208
,RPS28P5,RPS28P5,HGNC,HGNC:36802,ribosomal protein S28 pseudogene 5,https://identifiers.org/hgnc:36802
,RPS28P6,RPS28P6,HGNC,HGNC:36085,ribosomal protein S28 pseudogene 6,https://identifiers.org/hgnc:36085
,RPS28P7,RPS28P7,HGNC,HGNC:35787,ribosomal protein S28 pseudogene 7,https://identifiers.org/hgnc:35787
,RPS28P8,RPS28P8,HGNC,HGNC:36938,ribosomal protein S28 pseudogene 8,https://identifiers.org/hgnc:36938
,RPS28P9,RPS28P9,HGNC,HGNC:36193,ribosomal protein S28 pseudogene 9,https://identifiers.org/hgnc:36193
,RPS29,RPS29,HGNC,HGNC:10419,ribosomal protein S29,https://identifiers.org/hgnc:10419
,RPS29P1,RPS29P1,HGNC,HGNC:19783,ribosomal protein S29 pseudogene 1,https://identifiers.org/hgnc:19783
,RPS29P2,RPS29P2,HGNC,HGNC:31083,ribosomal protein S29 pseudogene 2,https://identifiers.org/hgnc:31083
,RPS29P3,RPS29P3,HGNC,HGNC:31363,ribosomal protein S29 pseudogene 3,https://identifiers.org/hgnc:31363
,RPS29P4,RPS29P4,HGNC,HGNC:35908,ribosomal protein S29 pseudogene 4,https://identifiers.org/hgnc:35908
,RPS29P5,RPS29P5,HGNC,HGNC:35584,ribosomal protein S29 pseudogene 5,https://identifiers.org/hgnc:35584
,RPS29P6,RPS29P6,HGNC,HGNC:35718,ribosomal protein S29 pseudogene 6,https://identifiers.org/hgnc:35718
,RPS29P7,RPS29P7,HGNC,HGNC:36594,ribosomal protein S29 pseudogene 7,https://identifiers.org/hgnc:36594
,RPS29P8,RPS29P8,HGNC,HGNC:36915,ribosomal protein S29 pseudogene 8,https://identifiers.org/hgnc:36915
,RPS29P9,RPS29P9,HGNC,HGNC:36913,ribosomal protein S29 pseudogene 9,https://identifiers.org/hgnc:36913
,RPS29P10,RPS29P10,HGNC,HGNC:37006,ribosomal protein S29 pseudogene 10,https://identifiers.org/hgnc:37006
,RPS29P11,RPS29P11,HGNC,HGNC:36413,ribosomal protein S29 pseudogene 11,https://identifiers.org/hgnc:36413
,RPS29P12,RPS29P12,HGNC,HGNC:36458,ribosomal protein S29 pseudogene 12,https://identifiers.org/hgnc:36458
,RPS29P13,RPS29P13,HGNC,HGNC:35818,ribosomal protein S29 pseudogene 13,https://identifiers.org/hgnc:35818
,RPS29P14,RPS29P14,HGNC,HGNC:36471,ribosomal protein S29 pseudogene 14,https://identifiers.org/hgnc:36471
,RPS29P15,RPS29P15,HGNC,HGNC:35876,ribosomal protein S29 pseudogene 15,https://identifiers.org/hgnc:35876
,RPS29P16,RPS29P16,HGNC,HGNC:35560,ribosomal protein S29 pseudogene 16,https://identifiers.org/hgnc:35560
,RPS29P17,RPS29P17,HGNC,HGNC:35479,ribosomal protein S29 pseudogene 17,https://identifiers.org/hgnc:35479
,RPS29P18,RPS29P18,HGNC,HGNC:37004,ribosomal protein S29 pseudogene 18,https://identifiers.org/hgnc:37004
,RPS29P19,RPS29P19,HGNC,HGNC:36118,ribosomal protein S29 pseudogene 19,https://identifiers.org/hgnc:36118
,RPS29P20,RPS29P20,HGNC,HGNC:36491,ribosomal protein S29 pseudogene 20,https://identifiers.org/hgnc:36491
,RPS29P21,RPS29P21,HGNC,HGNC:36479,ribosomal protein S29 pseudogene 21,https://identifiers.org/hgnc:36479
,RPS29P22,RPS29P22,HGNC,HGNC:35799,ribosomal protein S29 pseudogene 22,https://identifiers.org/hgnc:35799
,RPS29P23,RPS29P23,HGNC,HGNC:35779,ribosomal protein S29 pseudogene 23,https://identifiers.org/hgnc:35779
,RPS29P24,RPS29P24,HGNC,HGNC:35794,ribosomal protein S29 pseudogene 24,https://identifiers.org/hgnc:35794
,RPS29P25,RPS29P25,HGNC,HGNC:35649,ribosomal protein S29 pseudogene 25,https://identifiers.org/hgnc:35649
,RPS29P26,RPS29P26,HGNC,HGNC:36490,ribosomal protein S29 pseudogene 26,https://identifiers.org/hgnc:36490
,RPS29P27,RPS29P27,HGNC,HGNC:35836,ribosomal protein S29 pseudogene 27,https://identifiers.org/hgnc:35836
,RPS29P28,RPS29P28,HGNC,HGNC:36830,ribosomal protein S29 pseudogene 28,https://identifiers.org/hgnc:36830
,RPS29P29,RPS29P29,HGNC,HGNC:52362,ribosomal protein S29 pseudogene 29,https://identifiers.org/hgnc:52362
,RPS29P30,RPS29P30,HGNC,HGNC:52363,ribosomal protein S29 pseudogene 30,https://identifiers.org/hgnc:52363
,RPS29P31,RPS29P31,HGNC,HGNC:52364,ribosomal protein S29 pseudogene 31,https://identifiers.org/hgnc:52364
,RPS29P32,RPS29P32,HGNC,HGNC:52365,ribosomal protein S29 pseudogene 32,https://identifiers.org/hgnc:52365
,RPS29P33,RPS29P33,HGNC,HGNC:52366,ribosomal protein S29 pseudogene 33,https://identifiers.org/hgnc:52366
,RPSA,RPSA,HGNC,HGNC:6502,ribosomal protein SA,https://identifiers.org/hgnc:6502
,RPSA2,RPSA2,HGNC,HGNC:36809,ribosomal protein SA 2,https://identifiers.org/hgnc:36809
,RPSAP1,RPSAP1,HGNC,HGNC:16560,ribosomal protein SA pseudogene 1,https://identifiers.org/hgnc:16560
,RPSAP2,RPSAP2,HGNC,HGNC:18771,ribosomal protein SA pseudogene 2,https://identifiers.org/hgnc:18771
,RPSAP3,RPSAP3,HGNC,HGNC:19792,ribosomal protein SA pseudogene 3,https://identifiers.org/hgnc:19792
,RPSAP4,RPSAP4,HGNC,HGNC:20018,ribosomal protein SA pseudogene 4,https://identifiers.org/hgnc:20018
,RPSAP5,RPSAP5,HGNC,HGNC:20139,ribosomal protein SA pseudogene 5,https://identifiers.org/hgnc:20139
,RPSAP6,RPSAP6,HGNC,HGNC:31458,ribosomal protein SA pseudogene 6,https://identifiers.org/hgnc:31458
,RPSAP7,RPSAP7,HGNC,HGNC:31461,ribosomal protein SA pseudogene 7,https://identifiers.org/hgnc:31461
,RPSAP8,RPSAP8,HGNC,HGNC:31462,ribosomal protein SA pseudogene 8,https://identifiers.org/hgnc:31462
,RPSAP9,RPSAP9,HGNC,HGNC:31463,ribosomal protein SA pseudogene 9,https://identifiers.org/hgnc:31463
,RPSAP10,RPSAP10,HGNC,HGNC:31460,ribosomal protein SA pseudogene 10,https://identifiers.org/hgnc:31460
,RPSAP11,RPSAP11,HGNC,HGNC:6503,ribosomal protein SA pseudogene 11,https://identifiers.org/hgnc:6503
,RPSAP12,RPSAP12,HGNC,HGNC:6504,ribosomal protein SA pseudogene 12,https://identifiers.org/hgnc:6504
,RPSAP13,RPSAP13,HGNC,HGNC:6505,ribosomal protein SA pseudogene 13,https://identifiers.org/hgnc:6505
,RPSAP14,RPSAP14,HGNC,HGNC:6506,ribosomal protein SA pseudogene 14,https://identifiers.org/hgnc:6506
,RPSAP15,RPSAP15,HGNC,HGNC:31464,ribosomal protein SA pseudogene 15,https://identifiers.org/hgnc:31464
,RPSAP16,RPSAP16,HGNC,HGNC:35478,ribosomal protein SA pseudogene 16,https://identifiers.org/hgnc:35478
,RPSAP17,RPSAP17,HGNC,HGNC:35707,ribosomal protein SA pseudogene 17,https://identifiers.org/hgnc:35707
,RPSAP18,RPSAP18,HGNC,HGNC:36106,ribosomal protein SA pseudogene 18,https://identifiers.org/hgnc:36106
,RPSAP19,RPSAP19,HGNC,HGNC:36508,ribosomal protein SA pseudogene 19,https://identifiers.org/hgnc:36508
,RPSAP20,RPSAP20,HGNC,HGNC:35595,ribosomal protein SA pseudogene 20,https://identifiers.org/hgnc:35595
,RPSAP21,RPSAP21,HGNC,HGNC:36928,ribosomal protein SA pseudogene 21,https://identifiers.org/hgnc:36928
,RPSAP22,RPSAP22,HGNC,HGNC:36435,ribosomal protein SA pseudogene 22,https://identifiers.org/hgnc:36435
,RPSAP23,RPSAP23,HGNC,HGNC:36742,ribosomal protein SA pseudogene 23,https://identifiers.org/hgnc:36742
,RPSAP24,RPSAP24,HGNC,HGNC:36362,ribosomal protein SA pseudogene 24,https://identifiers.org/hgnc:36362
,RPSAP25,RPSAP25,HGNC,HGNC:36405,ribosomal protein SA pseudogene 25,https://identifiers.org/hgnc:36405
,RPSAP26,RPSAP26,HGNC,HGNC:36195,ribosomal protein SA pseudogene 26,https://identifiers.org/hgnc:36195
,RPSAP27,RPSAP27,HGNC,HGNC:36650,ribosomal protein SA pseudogene 27,https://identifiers.org/hgnc:36650
,RPSAP28,RPSAP28,HGNC,HGNC:35612,ribosomal protein SA pseudogene 28,https://identifiers.org/hgnc:35612
,RPSAP29,RPSAP29,HGNC,HGNC:36680,ribosomal protein SA pseudogene 29,https://identifiers.org/hgnc:36680
,RPSAP30,RPSAP30,HGNC,HGNC:35861,ribosomal protein SA pseudogene 30,https://identifiers.org/hgnc:35861
,RPSAP31,RPSAP31,HGNC,HGNC:35558,ribosomal protein SA pseudogene 31,https://identifiers.org/hgnc:35558
,RPSAP32,RPSAP32,HGNC,HGNC:50310,ribosomal protein SA pseudogene 32,https://identifiers.org/hgnc:50310
,RPSAP33,RPSAP33,HGNC,HGNC:35556,ribosomal protein SA pseudogene 33,https://identifiers.org/hgnc:35556
,RPSAP34,RPSAP34,HGNC,HGNC:36643,ribosomal protein SA pseudogene 34,https://identifiers.org/hgnc:36643
,RPSAP35,RPSAP35,HGNC,HGNC:36447,ribosomal protein SA pseudogene 35,https://identifiers.org/hgnc:36447
,RPSAP36,RPSAP36,HGNC,HGNC:35727,ribosomal protein SA pseudogene 36,https://identifiers.org/hgnc:35727
,RPSAP37,RPSAP37,HGNC,HGNC:35844,ribosomal protein SA pseudogene 37,https://identifiers.org/hgnc:35844
,RPSAP38,RPSAP38,HGNC,HGNC:35963,ribosomal protein SA pseudogene 38,https://identifiers.org/hgnc:35963
,RPSAP39,RPSAP39,HGNC,HGNC:37040,ribosomal protein SA pseudogene 39,https://identifiers.org/hgnc:37040
,RPSAP40,RPSAP40,HGNC,HGNC:36828,ribosomal protein SA pseudogene 40,https://identifiers.org/hgnc:36828
,RPSAP41,RPSAP41,HGNC,HGNC:36663,ribosomal protein SA pseudogene 41,https://identifiers.org/hgnc:36663
,RPSAP42,RPSAP42,HGNC,HGNC:36265,ribosomal protein SA pseudogene 42,https://identifiers.org/hgnc:36265
,RPSAP43,RPSAP43,HGNC,HGNC:35501,ribosomal protein SA pseudogene 43,https://identifiers.org/hgnc:35501
,RPSAP44,RPSAP44,HGNC,HGNC:36891,ribosomal protein SA pseudogene 44,https://identifiers.org/hgnc:36891
,RPSAP45,RPSAP45,HGNC,HGNC:35857,ribosomal protein SA pseudogene 45,https://identifiers.org/hgnc:35857
,RPSAP46,RPSAP46,HGNC,HGNC:36082,ribosomal protein SA pseudogene 46,https://identifiers.org/hgnc:36082
,RPSAP47,RPSAP47,HGNC,HGNC:36162,ribosomal protein SA pseudogene 47,https://identifiers.org/hgnc:36162
,RPSAP48,RPSAP48,HGNC,HGNC:36646,ribosomal protein SA pseudogene 48,https://identifiers.org/hgnc:36646
,RPSAP49,RPSAP49,HGNC,HGNC:35660,ribosomal protein SA pseudogene 49,https://identifiers.org/hgnc:35660
,RPSAP50,RPSAP50,HGNC,HGNC:35896,ribosomal protein SA pseudogene 50,https://identifiers.org/hgnc:35896
,RPSAP51,RPSAP51,HGNC,HGNC:36224,ribosomal protein SA pseudogene 51,https://identifiers.org/hgnc:36224
,RPSAP52,RPSAP52,HGNC,HGNC:35752,ribosomal protein SA pseudogene 52,https://identifiers.org/hgnc:35752
,RPSAP53,RPSAP53,HGNC,HGNC:36641,ribosomal protein SA pseudogene 53,https://identifiers.org/hgnc:36641
,RPSAP54,RPSAP54,HGNC,HGNC:36373,ribosomal protein SA pseudogene 54,https://identifiers.org/hgnc:36373
,RPSAP55,RPSAP55,HGNC,HGNC:36921,ribosomal protein SA pseudogene 55,https://identifiers.org/hgnc:36921
,RPSAP56,RPSAP56,HGNC,HGNC:36018,ribosomal protein SA pseudogene 56,https://identifiers.org/hgnc:36018
,RPSAP57,RPSAP57,HGNC,HGNC:35889,ribosomal protein SA pseudogene 57,https://identifiers.org/hgnc:35889
,RPSAP59,RPSAP59,HGNC,HGNC:36957,ribosomal protein SA pseudogene 59,https://identifiers.org/hgnc:36957
,RPSAP60,RPSAP60,HGNC,HGNC:36331,ribosomal protein SA pseudogene 60,https://identifiers.org/hgnc:36331
,RPSAP61,RPSAP61,HGNC,HGNC:36760,ribosomal protein SA pseudogene 61,https://identifiers.org/hgnc:36760
,RPSAP62,RPSAP62,HGNC,HGNC:35583,ribosomal protein SA pseudogene 62,https://identifiers.org/hgnc:35583
,RPSAP63,RPSAP63,HGNC,HGNC:35581,ribosomal protein SA pseudogene 63,https://identifiers.org/hgnc:35581
,RPSAP64,RPSAP64,HGNC,HGNC:39642,ribosomal protein SA pseudogene 64,https://identifiers.org/hgnc:39642
,RPSAP65,RPSAP65,HGNC,HGNC:51914,ribosomal protein SA pseudogene 65,https://identifiers.org/hgnc:51914
,RPSAP66,RPSAP66,HGNC,HGNC:51916,ribosomal protein SA pseudogene 66,https://identifiers.org/hgnc:51916
,RPSAP67,RPSAP67,HGNC,HGNC:51918,ribosomal protein SA pseudogene 67,https://identifiers.org/hgnc:51918
,RPSAP68,RPSAP68,HGNC,HGNC:51920,ribosomal protein SA pseudogene 68,https://identifiers.org/hgnc:51920
,RPSAP69,RPSAP69,HGNC,HGNC:51922,ribosomal protein SA pseudogene 69,https://identifiers.org/hgnc:51922
,RPSAP70,RPSAP70,HGNC,HGNC:51923,ribosomal protein SA pseudogene 70,https://identifiers.org/hgnc:51923
,RPSAP71,RPSAP71,HGNC,HGNC:51924,ribosomal protein SA pseudogene 71,https://identifiers.org/hgnc:51924
,RPSAP72,RPSAP72,HGNC,HGNC:51925,ribosomal protein SA pseudogene 72,https://identifiers.org/hgnc:51925
,RPSAP73,RPSAP73,HGNC,HGNC:51926,ribosomal protein SA pseudogene 73,https://identifiers.org/hgnc:51926
,RPSAP74,RPSAP74,HGNC,HGNC:51928,ribosomal protein SA pseudogene 74,https://identifiers.org/hgnc:51928
,RPSAP75,RPSAP75,HGNC,HGNC:51929,ribosomal protein SA pseudogene 75,https://identifiers.org/hgnc:51929
,RPSAP76,RPSAP76,HGNC,HGNC:51930,ribosomal protein SA pseudogene 76,https://identifiers.org/hgnc:51930
,RPTN,RPTN,HGNC,HGNC:26809,repetin,https://identifiers.org/hgnc:26809
,RPTOR,RPTOR,HGNC,HGNC:30287,regulatory associated protein of MTOR complex 1,https://identifiers.org/hgnc:30287
,RPUSD1,RPUSD1,HGNC,HGNC:14173,RNA pseudouridine synthase domain containing 1,https://identifiers.org/hgnc:14173
,RPUSD2,RPUSD2,HGNC,HGNC:24180,RNA pseudouridine synthase domain containing 2,https://identifiers.org/hgnc:24180
,RPUSD3,RPUSD3,HGNC,HGNC:28437,RNA pseudouridine synthase D3,https://identifiers.org/hgnc:28437
,RPUSD4,RPUSD4,HGNC,HGNC:25898,RNA pseudouridine synthase D4,https://identifiers.org/hgnc:25898
,RRAD,RRAD,HGNC,HGNC:10446,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator",https://identifiers.org/hgnc:10446
,RRAGA,RRAGA,HGNC,HGNC:16963,Ras related GTP binding A,https://identifiers.org/hgnc:16963
,RRAGAP1,RRAGAP1,HGNC,HGNC:20242,Ras related GTP binding A pseudogene 1,https://identifiers.org/hgnc:20242
,RRAGAP1-AS1,RRAGAP1-AS1,HGNC,HGNC:55445,RRAGAP1 antisense RNA 1,https://identifiers.org/hgnc:55445
,RRAGB,RRAGB,HGNC,HGNC:19901,Ras related GTP binding B,https://identifiers.org/hgnc:19901
,RRAGC,RRAGC,HGNC,HGNC:19902,Ras related GTP binding C,https://identifiers.org/hgnc:19902
,RRAGC-DT,RRAGC-DT,HGNC,HGNC:55793,RRAGC divergent transcript,https://identifiers.org/hgnc:55793
,RRAGD,RRAGD,HGNC,HGNC:19903,Ras related GTP binding D,https://identifiers.org/hgnc:19903
,RRAS,RRAS,HGNC,HGNC:10447,RAS related,https://identifiers.org/hgnc:10447
,RRAS2,RRAS2,HGNC,HGNC:17271,RAS related 2,https://identifiers.org/hgnc:17271
,RRAS2P1,RRAS2P1,HGNC,HGNC:54561,RRAS2 pseudogene 1,https://identifiers.org/hgnc:54561
,RRAS2P2,RRAS2P2,HGNC,HGNC:54562,RRAS2 pseudogene 2,https://identifiers.org/hgnc:54562
,RRBP1,RRBP1,HGNC,HGNC:10448,ribosome binding protein 1,https://identifiers.org/hgnc:10448
,RRBP1P1,RRBP1P1,HGNC,HGNC:55607,RRBP1 pseudogene 1,https://identifiers.org/hgnc:55607
,RRBP1P2,RRBP1P2,HGNC,HGNC:55608,RRBP1 pseudogene 2,https://identifiers.org/hgnc:55608
,RREB1,RREB1,HGNC,HGNC:10449,ras responsive element binding protein 1,https://identifiers.org/hgnc:10449
,RRH,RRH,HGNC,HGNC:10450,retinal pigment epithelium-derived rhodopsin homolog,https://identifiers.org/hgnc:10450
,RRM1,RRM1,HGNC,HGNC:10451,ribonucleotide reductase catalytic subunit M1,https://identifiers.org/hgnc:10451
,RRM1-AS1,RRM1-AS1,HGNC,HGNC:40512,RRM1 antisense RNA 1,https://identifiers.org/hgnc:40512
,RRM2,RRM2,HGNC,HGNC:10452,ribonucleotide reductase regulatory subunit M2,https://identifiers.org/hgnc:10452
,RRM2B,RRM2B,HGNC,HGNC:17296,ribonucleotide reductase regulatory TP53 inducible subunit M2B,https://identifiers.org/hgnc:17296
,RRM2P2,RRM2P2,HGNC,HGNC:10454,ribonucleotide reductase M2 polypeptide pseudogene 2,https://identifiers.org/hgnc:10454
,RRM2P3,RRM2P3,HGNC,HGNC:10455,ribonucleotide reductase M2 polypeptide pseudogene 3,https://identifiers.org/hgnc:10455
,RRM2P4,RRM2P4,HGNC,HGNC:10456,ribonucleotide reductase M2 polypeptide pseudogene 4,https://identifiers.org/hgnc:10456
,RRN3,RRN3,HGNC,HGNC:30346,RNA polymerase I transcription factor RRN3,https://identifiers.org/hgnc:30346
,RRN3P1,RRN3P1,HGNC,HGNC:30548,RRN3 pseudogene 1,https://identifiers.org/hgnc:30548
,RRN3P2,RRN3P2,HGNC,HGNC:37619,RRN3 pseudogene 2,https://identifiers.org/hgnc:37619
,RRN3P3,RRN3P3,HGNC,HGNC:37620,RRN3 pseudogene 3,https://identifiers.org/hgnc:37620
,RRN3P4,RRN3P4,HGNC,HGNC:54536,RRN3 pseudogene 4,https://identifiers.org/hgnc:54536
,RRP1,RRP1,HGNC,HGNC:18785,ribosomal RNA processing 1,https://identifiers.org/hgnc:18785
,RRP1B,RRP1B,HGNC,HGNC:23818,ribosomal RNA processing 1B,https://identifiers.org/hgnc:23818
,RRP7A,RRP7A,HGNC,HGNC:24286,ribosomal RNA processing 7 homolog A,https://identifiers.org/hgnc:24286
,RRP7BP,RRP7BP,HGNC,HGNC:30454,"ribosomal RNA processing 7 homolog B, pseudogene",https://identifiers.org/hgnc:30454
,RRP8,RRP8,HGNC,HGNC:29030,ribosomal RNA processing 8,https://identifiers.org/hgnc:29030
,RRP9,RRP9,HGNC,HGNC:16829,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein",https://identifiers.org/hgnc:16829
,RRP12,RRP12,HGNC,HGNC:29100,ribosomal RNA processing 12 homolog,https://identifiers.org/hgnc:29100
,RRP15,RRP15,HGNC,HGNC:24255,ribosomal RNA processing 15 homolog,https://identifiers.org/hgnc:24255
,RRP36,RRP36,HGNC,HGNC:21374,ribosomal RNA processing 36,https://identifiers.org/hgnc:21374
,RRS1,RRS1,HGNC,HGNC:17083,regulator of ribosome synthesis 1,https://identifiers.org/hgnc:17083
,RRS1-DT,RRS1-DT,HGNC,HGNC:50465,RRS1 divergent transcript,https://identifiers.org/hgnc:50465
,RS1,RS1,HGNC,HGNC:10457,retinoschisin 1,https://identifiers.org/hgnc:10457
,RSAD1,RSAD1,HGNC,HGNC:25634,radical S-adenosyl methionine domain containing 1,https://identifiers.org/hgnc:25634
,RSAD2,RSAD2,HGNC,HGNC:30908,radical S-adenosyl methionine domain containing 2,https://identifiers.org/hgnc:30908
,RSBN1,RSBN1,HGNC,HGNC:25642,round spermatid basic protein 1,https://identifiers.org/hgnc:25642
,RSBN1L,RSBN1L,HGNC,HGNC:24765,round spermatid basic protein 1 like,https://identifiers.org/hgnc:24765
,RSF1,RSF1,HGNC,HGNC:18118,remodeling and spacing factor 1,https://identifiers.org/hgnc:18118
,RSF1-IT1,RSF1-IT1,HGNC,HGNC:41439,RSF1 intronic transcript 1,https://identifiers.org/hgnc:41439
,RSF1-IT2,RSF1-IT2,HGNC,HGNC:41438,RSF1 intronic transcript 2,https://identifiers.org/hgnc:41438
,RSKR,RSKR,HGNC,HGNC:26314,ribosomal protein S6 kinase related,https://identifiers.org/hgnc:26314
,RSL1D1,RSL1D1,HGNC,HGNC:24534,ribosomal L1 domain containing 1,https://identifiers.org/hgnc:24534
,RSL1D1-DT,RSL1D1-DT,HGNC,HGNC:55337,RSL1D1 divergent transcript,https://identifiers.org/hgnc:55337
,RSL24D1,RSL24D1,HGNC,HGNC:18479,ribosomal L24 domain containing 1,https://identifiers.org/hgnc:18479
,RSL24D1P1,RSL24D1P1,HGNC,HGNC:13979,ribosomal L24 domain containing 1 pseudogene 1,https://identifiers.org/hgnc:13979
,RSL24D1P2,RSL24D1P2,HGNC,HGNC:37867,ribosomal L24 domain containing 1 pseudogene 2,https://identifiers.org/hgnc:37867
,RSL24D1P3,RSL24D1P3,HGNC,HGNC:37883,ribosomal L24 domain containing 1 pseudogene 3,https://identifiers.org/hgnc:37883
,RSL24D1P4,RSL24D1P4,HGNC,HGNC:37884,ribosomal L24 domain containing 1 pseudogene 4,https://identifiers.org/hgnc:37884
,RSL24D1P5,RSL24D1P5,HGNC,HGNC:37870,ribosomal L24 domain containing 1 pseudogene 5,https://identifiers.org/hgnc:37870
,RSL24D1P6,RSL24D1P6,HGNC,HGNC:37876,ribosomal L24 domain containing 1 pseudogene 6,https://identifiers.org/hgnc:37876
,RSL24D1P7,RSL24D1P7,HGNC,HGNC:37877,ribosomal L24 domain containing 1 pseudogene 7,https://identifiers.org/hgnc:37877
,RSL24D1P8,RSL24D1P8,HGNC,HGNC:37873,ribosomal L24 domain containing 1 pseudogene 8,https://identifiers.org/hgnc:37873
,RSL24D1P9,RSL24D1P9,HGNC,HGNC:37880,ribosomal L24 domain containing 1 pseudogene 9,https://identifiers.org/hgnc:37880
,RSL24D1P10,RSL24D1P10,HGNC,HGNC:37875,ribosomal L24 domain containing 1 pseudogene 10,https://identifiers.org/hgnc:37875
,RSL24D1P11,RSL24D1P11,HGNC,HGNC:37881,ribosomal L24 domain containing 1 pseudogene 11,https://identifiers.org/hgnc:37881
,RSPH1,RSPH1,HGNC,HGNC:12371,radial spoke head component 1,https://identifiers.org/hgnc:12371
,RSPH1-DT,RSPH1-DT,HGNC,HGNC:55644,RSPH1 divergent transcript,https://identifiers.org/hgnc:55644
,RSPH3,RSPH3,HGNC,HGNC:21054,radial spoke head 3,https://identifiers.org/hgnc:21054
,RSPH4A,RSPH4A,HGNC,HGNC:21558,radial spoke head component 4A,https://identifiers.org/hgnc:21558
,RSPH6A,RSPH6A,HGNC,HGNC:14241,radial spoke head 6 homolog A,https://identifiers.org/hgnc:14241
,RSPH9,RSPH9,HGNC,HGNC:21057,radial spoke head component 9,https://identifiers.org/hgnc:21057
,RSPH10B,RSPH10B,HGNC,HGNC:27362,radial spoke head 10 homolog B,https://identifiers.org/hgnc:27362
,RSPH10B2,RSPH10B2,HGNC,HGNC:34385,radial spoke head 10 homolog B2,https://identifiers.org/hgnc:34385
