id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
CRB IGR,21.12110/1.68CC-1DC2-2AE9,-,CRB IGR,,,https://www.gustaveroussy.fr/fr/content/centre-de-ressources-biologiques-activit%C3%A9s,,,"The BRC Gustave Roussy was created in 2001 to facilitating access of biological resources to the scientific community. It consists of 2 divisions: BRC Tissue and BCR ET-EXTRA. The expertise of BRC tissue is the collection, preservation and provision of annotated samples of human carcinogenesis (and their non-tumor tissue controls) in compliance with regulations. BRC ET-EXTRA manages blood samples in connection with treatment protocols.",jean-yves.scoazec@gustaveroussy.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CRB-CJP,21.12110/1.D387-6E58-6735,CRB-CJP,Yves-Jean BIGNON,,,,,,"BRC CJP holds a pre analytical platform samples transformation with a cryobroyeur, a bioanalyzer, but also an analytical platform broadband pyrosequencing and a laboratory allowing immunohistochemical assays. In addition to its large number of tumors from a variety of bodies, the CRB has a collection of prophylactic oophorectomy in women at hereditary risk and the Werner syndrome.",yves-jean.bignon@cjp.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
ANSES,21.12110/1.1FDF-AE54-B9D6,ANSES,ANSES,,,https://www.anses.fr/fr/content/pr%C3%A9sentation-de-lanses,,,"The French agency for Food, Environmental and Occupational Health Safety implements independent, multi-disciplinary scientific expertise.Its principal mission is to contribute to the protection of human health with respect to the environment, the workplace and food. 
In its sphere of competence, the Agency's mission is to conduct risk assessments, to provide the competent authorities with any information about these risks as well as the expertise and scientific and technical support necessary to draft legislative and statutory provisions and implement risk management and mitigation strategies.",agathe.denechere@anses.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
Hematobiobanque,21.12110/1.49DB-C668-0C52,-,Hematobiobanque,,,,,,"Our research team is devoted to characterize the physiopathology and the regulation of programmed cell death (PCD) of B-cell malignancies, with a special interest in the chronic lymphocytic leukemia (CLL), the most common hematological malignancy in Western countries. Our studies have been developed following 3 main directions:-) Identification of caspase-independent cell death as a new means to overcome apoptosis avoidance in chronic lymphocytic leukemia (CLL) : Drug resistance remains a major cause of treatment failure in CLL. In search for new molecules that induce PCD via caspase-independent PCD targets and that could open the way to novel therapeutic strategies in CLL treatment, we focused on CD47. This protein is a widely expressed member of the immunoglobulin (Ig) superfamily, functioning both as a receptor for thrombospondin-1 (TSP-1) and as a ligand for the transmembrane signal regulatory proteins SIRP? and ?. Our results demonstrate that CD47 engagement in CLL cells is a new and original approach that may be used to specifically eliminate malignant B-lymphocytes by induction of caspase-independent PCD, and this even in CLL cells from drug refractory patients. -) Characterization of various chromosomal aberrations in CLL and other lymphoproliferative disorders: We identified the gain of the short arm of chromosome 2 (2p) as a frequent recurring chromosome aberration, present in 28% of untreated patients with advanced stage CLL  and the deletion of the long arm of chromosome 14. We also described the clinical and biological features of CLL patients with translocations involving IG genes that are recurrent, but uncommon (<5%) in CLL: (14;19)(q32;q13) and t(14;18)(q32;q21).  We have reported the transcriptional activation of miR-125b-1 in the recurrent translocation, t(11;14)(q24;q32), involving IGH@ in B-cell precursor acute lymphoblastic leukemia.-)  Characterization of the B-Cell Receptor in CLL : We showed  evidence for a biaised Ig gene repertoire associated with increased proliferation as an indirect mechanism to overcome the homeostatic elimination of the malignant cells by programmed cell death in relation with poor prognosis in CLL .",fred.davi@aphp.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
Cell&Co,21.12110/1.ABA5-5D5E-E8B1,Cell&Co,Cell&Co,,,http://www.cell-and-co.com,,,Cell & Co Biorepository is a private biobank. It ensures the management and conservation of biological resources from research projects and computer data and paper associated with those resources.,sdessolin@cell-and-co.com,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
SMART Biobank,21.12110/1.B3B5-A94B-BAF5,,SMART Biobank,,,,,,,jacqueline.degraaf@radboudumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Lipidpoli Biobank,21.12110/1.6F1C-9860-EBB4,,Lipidpoli Biobank,,,,,,,a.h.m.smelt@lumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
EVA (European Virus Archive),21.12110/1.AEFE-6066-E615,-,EVA (European Virus Archive),,,http://www.european-virus-archive.com,,,"Virus collections have been generated in small and large laboratories globally. However, their quality and the particular viruses collected usually reflect the interest of the laboratory.  Moreover, when laboratories are re-organized, closed down or the virologist leaves or retires, many of these collections are lost to science. The European Virus Archive (EVA) was conceived as a direct response to the need for a coordinated and readily accessible collection of viruses that could be made available to academia, public health organizations and industry, initially within Europe but ultimately throughout the World.  In preparing the FP7 proposal, it was emphasized that it would be impossible to generate a wide ranging viral archive in a single laboratory complex. Thus, the ""virology club tradition"" was retained by developing an integrated infrastructure via consortia, operating through validated networks. Initially, 9 laboratories within the EU were directly associated to compose the core of the network.  EVA provides access to viruses through European laboratories by integrating their collections and devising validated protocols and effective dissemination procedures, the partner laboratories work to identical high standards in producing and supplying authenticated viruses to the scientific community globally. This has been obtained through intense exchanges of know-how consisting of workshops, trainings and staff exchanges. The current EVA organization is satisfactorily operating: about 1000 products have been distributed worldwide. Ultimately, the EVA network should generate the largest collection of animal and plant viruses in Europe and ultimately in the world and should move beyond the current state-of-the-art to provide a valuable resource and service. To reach its objective to become the key provider of virus and viral derived products worldwide, EVA expands its network at the European level but also outside Europe.",jean-louis.romette@univ-amu.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
INRA - CIRM,21.12110/1.27FD-B363-BC33,-,INRA - CIRM,,,http://www6.inra.fr/cirm,,,"The International Center of Microbial Resources (CIRM) is a BRC created by INRA in 2004. It preserves over 15.000 strains in five dedicated sites: food bacteria (Rennes), pathogenic bacteria (Tours), lignocellulotytic filamentous fungi (Marseilles), phytopathogenic bacteria (Angers) and hemiascomycetous yeasts (Grignon). The aim of this BRC is to gather all the microbial collections of INRA to make accessible a set of well characterized microbial resources to the scientific community. Since its creation, the CIRM has integrated over 12 Inra collections and has become a unique blend of collections associated to research on agro-food, biotechnology and human, animal and plant health. In addition to strain authentication, characterization, preservation, and distribution, the CIRM provides a number of services including taxonomic identification, full strain characterization, strain typing, confidential safe deposit and expertise in various fields. The CIRM is very active in the characterization and preservation of biodiversity from French oversea territories. The five sites are all ISO 9001 certified.The main research interests are: -Biodiversity and taxonomy: the five CIRM sites are involved in molecular taxonomy, design of new methods for identification and species description-Comparative genomics: the Grignon site, as a founder member of Genolevures, the French yeast genome sequencing consortium, has been involved in several comparative genomics projects since 1998.-Biotechnology: the Marseilles site is involved in several national and European projects studying the enzymatic potentiality of filamentous fungi for white and green biotechnologies. The Rennes site is involved in biotransformation of milk and cheese technology-Health: the Tours site studies biodiversity and molecular markers of bacterial pathogens and is involved in the determination of the antimicrobial spectrum of different molecules. The Rennes and Grignon sites are involved in projects on microbiological safety of foodstuff Since the start of 2009, the CIRM is coordinator, together with the Institut Pasteur, of the European project EMbaRC, which aims at establishing a self-sustainable community of European Microbial Resource Centers representing a large biodiversity and offering a wide-range of not only bioresources, but also expert services. Joint research to improve strain and DNA storage and to develop new microorganisms identification methods is ongoing.",serge.casaregola@grignon.inra.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CECOS Germetheque,21.12110/1.4357-4D20-2C96,CECOS Germetheque,CECOS Germetheque,,,http://www.chu-toulouse.fr/-germetheque-centre-de-ressources-biologiques-,,,"Founded in 2007, Germetheque is a distributed biological resource center grouping multiple hospitals with relevant collections: Bordeaux, Clermont-Ferrand, Grenoble, Lille, Marseille (APHM), Paris (Cochin et Tenon de l'APHP), Rennes, Rouen, Strasbourg and Toulouse. This biobank facilitates research in the field of human fertility. In this regard, it collects, stores and distributes human biological samples for researchers (male and female gametes, germinal tissue, DNA and others).",bujan.l@chu-toulouse.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
BBV,21.12110/1.AF21-D05D-E581,BBV,Biobank Väst,,,https://www.biobankvast.se/,,,Biobank Väst is an infrastructure for medical research and a center of competence for biobank related matters. We are a collaboration between Gothenburg University and The Västra Götaland Region and represents the only biobank of these two principals. Collections include both research samples and samples intended for medical care and treatment.,rbcvast@vgregion.se,Biobank,,,,,,,,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,
CRB PARIS SUD,21.12110/1.71D3-45D3-9218,CRB PARIS SUD,"CRB Paris Sud/G H Paris Sud, Kremlin Bicetre",,,http://maladiesrares-paris-sud.aphp.fr/centre-de-ressources-biologiques/,,,"The biobank South of Paris was created in 2006 with the help of INSERM and the University Hospital center South of Paris. The mission of biobank is to collect, prepare, storage and the provision samples and data for the scientific community as research teams of the hospital group, partners teams and industry. Samples are tissus, plasma, sera, fluids, nucleic acids. These collections are established within the framework of protocols of research, arises from the care and requalified for research. The biobanks leans on a quality approach which allowed to obtain since 2011 the AFNOR certification according to the standard NF S96-900.",catherine.guettier@aphp.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CRB - Filiere Microbiologie,21.12110/1.EBEE-5992-2210,-,CRB - Filiere Microbiologie,,,https://www.chu-besancon.fr/la-recherche/les-acteurs-de-la-recherche-au-chru/centre-de-ressources-biologiques.html,,,"The  Biological Resource  Center  - Microbiology collects, characterizes  and stores  pathogenic  micro- organisms  (bacteria,  yeast,  molds) isolated  from  patients  hospitalized  in  the  University  Hospital  of Besancon  or  isolated  from  the  environment.   The  collections  are  used  to  develop   new  tools  for epidemiology  (using   MALDI-TOF   MS,  whole  genome   sequencing  for  example)  and  for  antibiotic resistance  determination.   Collections  are  also  used  to  study  the  population  structure  of  multidrug resistant  bacteria and  to analyze the evolution  of pathogenic  bacteria  during  their spread  in hospital setting or during the patient infection.",crb-fmb@chu-besancon.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CEPH Biobank,21.12110/1.2209-32D8-76E3,-,CEPH Biobank,,,http://www.cephb.fr/collectionsBio.php,,,"The CEPH Biobank, one of the first French biobank using a ""professional"" organization, is a high throughput Biological Resource Centre since 2007.
Between 2012 and 2015 the biobank received more than 120000 biological samples for transformation and storage. The biobank was involved in the establishment of 9 new cohorts.",crb@cephb.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,21.12110/1.DAE5-972B-6861,,Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,,,http://www.cclg.org.uk/tissue-bank,,,"National collection of childhood, teenagers and young adults solid tumour samples and lymphomas in the UK.  Samples are centrally stored at the Central Bank, Newcastle University.",cclgtissuebank@le.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
CRB-O CRCM,21.12110/1.E2BA-B2DA-F09B,-,CRB-O CRCM,,,http://crcm.marseille.inserm.fr/plateformestechnologiques/tumorotheque/,,,"Created from Institut Paoli-Calmettes (IPC) and the Centre for Research in Marseilles Cancer (CRCM), the tumor bank allows the use to scientists of biological resources for basic or translational research programs in oncology.
It also proposes a diversification of sample processing procedures, including the establishment of a centralized platform for nucleic acid extraction. More recently, the two  tumor banks of Marseilles have joined forces with the CHUN-CAL  tumor bank from Nice to build the first online catalog in France, establishing proof of concept for the interoperability of French tumor banks: the ""Virtual Tumor Library of the Canceropole PACA"" (www.biobank-paca.com) allows interested researchers to develop multicriteria research to identify sets of anonymized samples potentially used in the conduct of their scientific projects",chabannonc@ipc.unicancer.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
Base Clinico-Biologique Glioblastomes,21.12110/1.185E-0072-22ED,Base Clinico-Biologique Glioblastomes,BCB glioblastomes,,,,,,"BCB glioblastoma aims to establish a cohort of 1,200 patients with glioblastoma from 29 university hospitals and centers for the Fight against Cancer at national level.
The associated biological collection consists of frozen tumor and paraffin tissue , hair and blood (serum, plasma, and whole blood buffy coat).
Associated with biological material, clinical data  are also collected before, during and after surgery (karnofsky score, date of diagnostic, localization of tumor (initial MRIs are collected), date and type of surgery, type of tumors (immunohistochemistry and molecular biology), treatments received after surgery and follow up every 6 month, vital status...). All data are saved in a one secured database with a management system",phmenei@chu-angers.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
BBS,21.12110/1.3941-FD4B-35AF,BBS,CRB du CHU de Bordeaux - Bordeaux Biotheques Sante,,,https://www.chu-bordeaux.fr/Professionnels-recherche/Centre-de-Ressources-Biologiques/,,,"BRC Marie Lannelongue is a young structure, created at the end of 2009. This BRC collaborates with different structures and participates in several ongoing studies. The work focuses mainly on lung cancer, in terms of genetic abnormalities and immune response.",isabelle.pellegrin@chu-bordeaux.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
DERMOBIOTEC,21.12110/1.AADC-D6C2-B80E,DERMOBIOTEC,Biobanque de la banque tissus et cellules des HCL,,,http://www.chu-lyon.fr/fr/centre-de-ressources-biologiques,,,"Dermobiotec is one of the functional units of the Tissue and Cell Bank of the Civil Hospitals of Lyon (BTC / HCL).The BTC / HCL is a hospital service whose main functions are: i. Reception, preservation, validation and distribution of corneal grafts, ii. The production of medicinal products for innovative therapies or tissue engineering intended for care (transplants). Dermobiotec is the key element of BTC / HCL's R & D sector and enables the reception, treatment, conditioning, preservation and scientific use of human biological samples related to the clinical activity.",pascale.pascal@chu-lyon.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CRB Marie Lannelongue,21.12110/1.CE36-AAA1-B7D7,CRB Marie Lannelongue,CRB de l'hopital Marie Lannelongue,,,http://www.hopitalmarielannelongue.fr/,,,-,v.thomasdemontprevil@ccml.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
CRB TBM- Tumorothéque et Banque de Muscles,21.12110/1.E438-8E13-297D,CRB TBM- Tumorothéque et Banque de Muscles,"CRB du CHU de la Timone, Marseille",,,http://fr.ap-hm.fr/recherche-clinique-et-innovation/structures/crb-centre-de-ressources-biologiques,,,"The AP-HM biobank was created following the call ""DHOS Tumorotheque"" 2002. It carries out the receipt, storage and transfer of the cryopreserved samples taken as part of the care. The AP-HM biobank houses the AP-HM tumor bank and muscle bank.
Since 2015, a virtual grouping of the AP-HM BRCs has been carried out. It includes three entities: CRB TBM (tumor bank and muscle bank), CRB HemoVasc and CRB TAC (Tissues, DNA, Cells);  www.biobank-paca.com",dominique.figarella-branger@ap-hm.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
HBOOCA,21.12110/1.0289-88A5-AA69,HBOOCA,Hellenic Biobank of Overweight and Obesity in Childhood and Adolescence,,,,,,A collection of biological samples from patients living from overweight or obese children and adolescents living in Greece,echarmand@med.uoa.gr,Biobank,,,,,,,,,,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,
SCH,21.12110/1.E152-9C35-A8E7,SCH,SCHIZOBANK,,,http://www.schizobank.hu/schizobank/home.html,,,"SCHIZOBANK is a special, disease-based biobank that has the permission of the local ethics committee to maintain its collection with different types of biological materials of patients relating. With the aid of this biobank we try to releive the background of this psychiatric disorder at the molecular level. Data of SCHIZOBANK (based on the results of our investigations) contain biomarkers that help diagnosing, monitoring of drugs’ effects and eliminating adverse side effects individually.",gy.nemeth@richter.hu,Biobank,,,,,,,,,,,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,
IBB,21.12110/1.B78E-BA15-54C0,IBB,IARC Biobank,,,https://ibb.iarc.fr/,,,"The IARC BioBank (IBB) is one of the largest, most varied and richest International collections of samples in the world. 

The Biobank is publicly funded, (approximately 60% of its budget is provided by IARC Participating States through the regular budget and the remainder is from research grants) and hosts over 50 different studies, led or coordinated by IARC scientists. 

The IBB contains both population-based collections from research projects focusing on gene-environment interactions and disease-based collections which focus on biomarkers. Study designs include case-series, prevalence studies, case-control and cohort studies, etc.",kozlakidisz@iarc.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
TTB,21.12110/1.96D7-8220-244B,TTB,Chirurgia Generale 3 Tumour Tissue Biobank,,,,,,"The biobank of the Chirurgia Generale 3 - University Hospital of Padua was born in 1991. The biobank daily manages and stores neoplastic biological samples according to protocols authorized by the Local Ethics Committee, following national and international guidelines. This biobank, due to a large number of samples and related clinical data, represents one of the most important oncology biobank organizations in the regional territory. Currently, the biobank, operating with trained staff, retains more than 150,000 units of biological material (whole blood, serum, neoplastic and normal tissue, DNA and RNA) of approximately 25,000 patients with various types of cancers (colorectal, breast, stomach, liver, lung, pancreas, melanoma, and sarcoma) in cryo-container and refrigerators, in dedicated and remote-alarmed areas.",clara.benna@unipd.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
NBC,21.12110/1.4CAC-68CC-54C2,NBC,Neuromed Biobanking Center,,,http://www.neuromed.it/biobanking-centre/,,,"The Neuromed Biobanking Center, a population biobank, was born from the collection of samples and information deriving from the Moli-sani project. The IT infrastructure for the management and storage of the samples, the laboratory for the handling and storage of the same and the biobank, are located on the campus of the Neuromed Foundation which recognizes and supports the biobank itself as a structure of the Neuromed group.",mbdonati@moli-sani.org,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BVR,21.12110/1.B892-3350-ED28,BVR,IZSLER Biobanking of Veterinary Resources,,,http://ibvr.org,,,"The Biobank of Veterinary Resources (BVR), located at the Istituto Zooprofilattico Sperimentale della Lombardia e dell’Emilia Romagna (IZSLER), has the mission to collect biological resources mainly resulting from routinely diagnostic procedures and research. The collected resources, stored after being submitted to careful identity and purity controls, are available to public and private institutions.. . The collection consists of several types of biological samples such as cell culture, pathogens (viruses, bacteria, parassites), histological material and microorganism genomic sequences, etc.. . Biological resources from third parties can be stored at BVR facilities as safe deposit, open deposit and patent deposit according to Budapest treaty.. . The Biobank is certified according to ISO 9001:2015 and UNI CEI EN ISO/IEC 17025.. . Furthermore, BVR has been recognized as an Office Internationale Epizooties (OIE) Collaborating Centre.",mariabeatrice.boniotti@izsler.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BBIRE,21.12110/1.274A-CB72-40E7,BBIRE,Biobanca IRE,,,https://www.ifo.it,,,"Born in 2014 (BBIRE), the Biobank of the IRCCS Regina Elena National Cancer Institute includes tissue and biological fluids of cancer patients. The collections store and distribute frozen tissues, FFPE tissues, blood derivatives, cells and cell lines, biological fluids, nucleic acids and related data.",laura.conti@ifo.gov.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
CRB-HSM,21.12110/1.A35A-951A-F218,CRB-HSM,Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino,,,http://www.ospedalesanmartino.it,,,"Born in 2008 (CRB-IST), the Biological Resource Centre of the IRCCS Ospedale Policlinico San Martino includes three collections of biological material:
- Genoa Tissue Bank (GTB)
- Biobanca Neurologica (BioNeuro)
- Banca cellule (ICLC) 
The collections store and distribute frozen tissues, FFPE tissues, blood derivatives, cells and cell lines, biological fluids, nucleic acids and related data.",barbara.parodi@hsanmartino.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BBOP,21.12110/1.E2F4-72AE-6F71,BBOP,Banca Biologica Oncologica Pediatrica,,,,,,"The laboratory of pediatric oncohematology is the national reference for the diagnosis of acute pediatric, lymphomas, solid tumors and brain tumors.
IN additon to the routine analyses, for retrospective studies and future clinical and/or research puroposes the biological biobank is maintained. Cryopreservation of an average of 10000 vials is carried out annualy and are subsequently added to the bank. Moreover are stored dna rna proteins and cell lines. The biological bank is a centralized integrated framework for the collection and filling of biological samples related to clinical studies and clinical analysis in research projects. 
Biobank’s activities are: storing specimens harvested over time, combined with molecular, cellular and genetic data. Moreover, collected samples are processed primarily analyzed and adeguately preseved for sharing with the wider scientific comunity. 
An efficient IT system is a crucial matter and has been implemented to serve database in real time.",andrea.zangrando@unipd.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
IGG-GB,21.12110/1.47B8-CAC4-05B7,IGG-GB,Biobanca del Laboratorio di Genetica Umana,,,http://biobanknetwork.telethon.it/,,,"The biobank started its activity in 1983 as a unit of the Laboratory of Human Genetics of Galliera Hospital in Genoa In January 2019 the Biobank moved to Istituto G. Gaslini and it was renamed “Biobank of the Laboratory of Human Genetics”. Since May 2020 it has been merged with the Biobank of cell lines and DNA from patients affected by genetic diseases established at Gaslini hospital in 1976. Presently, the unified biobank stores more than 20,000 biospecimens and associated data from about 300 genetic disorders. Since 2008 it has been partner of the Telethon Network of Genetic Biobanks and in 2010 it was officially authorized by the Liguria Region.",domenicocoviello@gaslini.org,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
NMTB,21.12110/1.E4B0-0298-2D6B,NMTB,Banca Neuromuscolare di Tessuti e DNA,,,,,,Collection of muscular biopsies and DNA samples of rare neuromuscular diseases,elena.pegoraro@unipd.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
daVEB,21.12110/1.2CDA-3EBE-1001,daVEB,da Vinci European BioBank,,,https://www.daveb.unifi.it/,,,"The da Vinci European BioBank (daVEB) is a ISO9001 certified multicenter biobank with a centralized IT infrastructure and a main repository located at the Polo Scientifico (Scientific Campus of the University of Florence) in Sesto Fiorentino (Florence, Italy).
Liquid samples and the associated data from healthy volunteers and donors involved in studies on metabolic diseases and different type of cancer have been collected in recent years for the metabolomic studies performed by FiorGen in collaboration with the Magnetic Resonance Center (CERM) of the University of Florence. Samples  from healthy subjects, patients affected by cardiomyopathy, melanoma and ductal carcinoma are stored in the biobank.Further, daVEB collaborates with CERM with the aim to improve its standard operating procedures (SOPs) and preanalytical treatments.",daveb@csavri.unifi.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
SienaGeneticBiobank,21.12110/1.D6F1-6A45-C218,SienaGeneticBiobank,Genetic and COVID-19 Biobank of Siena,,,https://sites.google.com/dbm.unisi.it/gen-covid,,,"The Biobank started its activity in 1998, focusing on X-linked Intellectual disability, and specifically on Rett syndrome. Subsequently, the biobank extended the collection to samples from other genetic diseases maintained in the Medical Genetics Unit, among which the largest contribution is represented by Alport syndrome and Retinoblastoma. Moreover, the Biobank collects samples from a large number of other genetic diseases, both with and without genetic diagnosis. Different biological samples are stored: DNA, RNA, leukocytes, lymphoblastoid cell lines, primary fibroblasts, whole blood, plasma, induced Pluripotent Stem Cells. The biobank offers also services of sample manipulation storage and distribution. Finally, the COVID-19 collection started its activity in March 2020, including biological samples from patients tested positive for SARS-CoV-2 infection with different degrees of severity.",alessandra.renieri@unisi.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BiobankNMD-Milan,21.12110/1.4E55-5078-F11C,BiobankNMD-Milan,Biobank of skeletal muscle peripheral nerve DNA and cell cultures,,,http://www.centrodinoferrari.com/en/laboratori/u-o-d-diagnostica-malattie-neuromuscolari-e-rare/biobanca/,,,"The ”Biobank of skeletal muscle, peripheral nerve, DNA and cell cultures” is part of the Rare Neuromuscular Disease Unit. It collects and stores biological samples for both research and diagnostic purposes.. . Since 1999 it has been partly funded by the Telethon Foundation as part of the Telethon Network of Genetic Biobanks.. . In 2002 it became a partner of the project EuroBioBank, funded by the European Community, coordinated by Eurordis first (European Organization for Rare Diseases ) and currently by Telethon. It joined BBMRI in 2013.. . The Bank’s quality system is certified by BVQI.. . The Biobank contains a considerable number of biological samples from patients with different rare neuromuscular diseases.It currently stores over 6400 skeletal muscle specimens, approximately 5140 resin-embedded samples for electron microscopy observation, over 200 samples of peripheral nerve for morphological studies and 8117 of DNA samples and cell cultures.. .",info.neuromuscularbiobank@gmail.com,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
CRB-OSR,21.12110/1.C330-6B32-00D1,CRB-OSR,Centro Risorse Biologiche – Ospedale San Raffaele,,,https://www.bbmri.it/lista-biobanche/centro-risorse-biologiche-ospedale-san-raffaele/,,,"The CRB-OSR was established with the aim of coordinating the biobanking activities and the collection of biological samples from the clinical departments. The CRB-OSR receive, process and store biological samples from patients who, after signing the informed consent, choose to donate their samples to the research. After the approval of the projects from the Institutional Ethical Committee, the CRB-OSR deliver biological samples and clinical data to OSR community of scientists. Currently the collected material include frozen and FFPE tissues, serum, plasma, cells isolated from peripheral blood, bone marrow and solid tumoral/normal tissues, liquor, cerebrospinal fluid, ascites, DNA, RNA, serum, plasma and urine.",tresoldi.cristina@hsr.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BBINT,21.12110/1.1B24-12D5-3C0D,BBINT,Biobanca Istituzionale INT,,,http://www.istitutotumori.mi.it,,,"Born in 2006, the Biological Resource Centre of IRCCS Istituto Nazionale dei Tumori includes collections of biological material (frozen tissues and, from 2012, also blood derivation) and related clinical data.",mariagrazia.daidone@istitutotumori.mi.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
NEUMD-Besta,21.12110/1.BF71-4663-E6C1,NEUMD-Besta,Neuromuscular Disease Biobank,,,http://biobanknetwork.telethon.it,,,"The biobank provides samples as a service to the scientific community conducting research on neuromuscular disorders. Samples are from patients affected by different forms of muscular dystrophy, including the severe congenital and Duchenne muscular dystrophies, as well as limb girdle muscular dystrophies, congenital myopathies, distal and myofibrillar myopathies, inflammatory myopathies, and metabolic myopathies. Different types of biomaterials are frequently available from a single patient. 
The Biobank is founding partner of the EuroBioBank network, the first operating network of biobanks for rare diseases in Europe, and of the Italian Telethon Network of Genetic Biobanks.",francesca.andreetta@istituto-besta.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BBI,21.12110/1.E73D-0711-3D8C,BBI,BioBanca Istituzionale,,,https://www.istitutotumori.na.it/RicercaScientifica/e_Biobanca.html,,,"The Institutional BioBank (BBI), is a unit of the Scientific Direction collecting human bio-materials for a Scientific Research purpose. BBI  takes part to the National Network of Oncological Biobanks “RIBBO” and “BBMRI” and stores cancer tissues, blood  and other biological fluids  in specific cryopreservation facilities.    BBI main aim is to support medical-scientific research, providing  high quality biological samples, associated with clinical data with donor approval and in respect of ethic-legal laws.    Samples can be provided only for Research Projects authorized by an Ethic Commettee  and   by the Scientific Director. BBI Regulation has been approved by the General Director with Deliberation N. 15 del 20/01/2016 and is supported by  operating procedures (SOPs) according to the international guidelines.   The manager of the biobank is Prof. Gerardo Botti, Scientific Director, helped by a biologist (Dr. Monica Cantile) and a data-manager (Mrs Ornella Sacco).",biobancaistituzionale@istitutotumori.na.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
