id,pid,acronym,name,type,features,website,lead organisation,additional organisations,description,logo,logo_filename,countries,start year,end year,publications,funding statement,acknowledgements,data sources,databanks,cohorts,models,networks
LUCIA,,LUCIA,Understanding Lung Cancer related risk factors and their Impact,RIA - Prevention and Early Detection,,https://hope.be/EU_Projects/lucia/,,,"Smoking tobacco is the biggest risk factor for lung cancer. However, it is not the only risk factor. For example, uranium (found in rocks and soils) is a cancer-causing agent. So is asbestos, arsenic, nickel, coal smoke, soot and diesel fumes. The EU-funded LUCIA project will focus on personal risk factors, external risk factors, and biological responses to those risk factors. It will develop a toolbox for analysis that will include databases, AI models, wearable devices, sensors and multi-omics. After identifying the effects of various risk factors, the project will study the molecular changes associated with these risk factors. The findings will be translated into policy recommendations and used in lung cancer screening programmes and digital diagnostics.
Lung Cancer (LC) is the biggest cancer killer worldwide, with five-year survival following diagnosis varying between 5% to 25%. Though tobacco smoking has long been recognized as the major risk factor for LC, many cases (incl. LC patients that are non-smokers) cannot be explained by this reason. In this sense, LUCIA aims to establish a novel toolbox for discovering and understanding new risk factors that contribute to LC development. The toolbox encompasses the analysis of three aspects: (i) personal risk factors, which include a person’s exposure to chemical pollutants and behavioural and lifestyle factors; (ii) external risk factors, such as urban, built and transport environments, social aspects and climate; and (iii) biological responses to the personal and external risk factors, including changes in genetics, epigenetics, metabolism and aging. Key components of the toolbox for analysing personal and external risk factors include retrospective and prospective cohort databases, AI models, wearable devices, novel non-invasive sensors, and multi-omics. Together, these tools will be used to identify the effects of a wide range of environmental, biological, demographic, community and individual-level risk factors associated with the formation of LC. Molecular changes associated with the risk factors identified by this set of tools will then be validated by cell and molecular biology methods and through in vivo analysis. The impact of the identified personal and external risk factors and the associated biological responses will be then validated in three clinical use cases: general population risk assessment and screening, precision screening of high-risk populations, and digital diagnostics. The resulting evidence within LUCIA will be translated into policymaking recommendations, with the aim to implement them in a screening program for LC. 
This action is part of the Cancer Mission cluster of projects on ‘Understanding'.",,,,2023,2026,,,,,,,,
MammoScreen,,MammoScreen,"Innovative and safe microwave-based 
imaging technology to make breast cancer screening more accurate, 
inclusive and female-friendly",RIA - Prevention and Early Detection,,https://mammoscreenproject.eu,,,"In many countries breast cancer screening in women above 40 years of age who are at risk from the disease is performed using mammography, an ionising radiation-based technique. Although it can help detect breast cancer at an early stage, the technology is not suitable for radiographically dense breasts. To address this limitation the EU-funded MammoScreen project proposes to utilise MammoWave for breast screening, a non-invasive technology that employs non-ionising microwave signals. Contrary to mammography, the MammoWave technology does not apply any compression to the breast and is very effective with dense breasts, making it suitable for younger women below the age of 40.
Breast cancer (BC) is the most common cancer in women worldwide, affecting 1 in 8 women. The figures from WHO’s International Agency for Research on Cancer estimate that in 2020 worldwide cases of breast cancer accounted for 24% of all cancers in women (2.26 million women and 685,000 deaths globally). Mammography is the gold standard technology for breast screening, which has been demonstrated through different randomized controlled trials to reduce breast cancer mortality. However, it has limitations and potential harms, such as the use of ionizing radiation, breast compression and performance restrictions due to the intrinsic nature of X-rays. In particular, breast density is a restrictive property that can prevent breast cancer detection in mammograms of women with radiographically dense breasts. Other existing techniques (MRI, Ultrasound, biopsy) also suffer from drawbacks. The overall aim of the MammoScreen proposal is to generate evidence about the use of MammoWave (a technology developed by UBT) as screening technique in population-based programs promoted by National or Regional Health Systems, to reach a revolution in breast screening. To do so, the consortium aims to confirm that MammoWave reaches sensitivity>90% and specificity>95% in BC detection on 10000 study participants undergoing regular screening programs. MammoWave uses safe non-invasive and non-ionizing microwave signals, does not apply any compression to the breast and is very effective with dense breasts. Hence it can extend the breast screening to younger women aged 20-49 (98 million women in Europe). This group accounts for ~30% of breast cancers in 2020. A comprehensive health economic assessment will be undertaken in this project and innovative way to implement patient engagement approaches is sought. An effective policy makers’ engagement plan will be carried out to ensure that MammoWave is recommended as screening approach due to the benefits that it brings to women and healthcare systems. This action is part of the Cancer Mission cluster of projects on ‘Prevention, including Screening.",,,,2022,2026,,,,,,,,
MyPath,,MyPath,Developing and implementing innovative Patient-Centred Care Pathways for cancer patients,RIA - Diagnosis and treatment,,https://mypath-cancercare.eu/,,,"In this project, we will develop technology-enhanced and evidence-based patient-centred care pathways, called MyPath, to be merged with tumour-centred treatments across supportive, palliative, survivorship and end-of-life care. MyPath integrates patient-reported outcomes of the OUS Eir software, to be further advanced with contributions of renowned European oncologists, ethicists, psychologists and sociologists.",,,,2022,2027,,,,,,,,
ONCODIR,,ONCODIR,Evidence-based Participatory Decision Making for Cancer Prevention through implementation research,RIA - Prevention and Early Detection,,https://oncodir.eu,,,"Colorectal cancer (CRC) is one of the most common cancer types and its increased occurrence may be attributable to adverse health behaviors, especially in lower socioeconomic status populations. Stemming from the specific risk factors identified with CRC, ONCODIR integrates multidisciplinary research methods from health policy analytics; social and behavioural science; AI-powered multi-omics and retrospective data analytics as well as decision support theories to deliver evidence-based cancer prevention programmes and innovative AI-powered personalised prevention approaches. ONCODIR recognises that the evaluation of the ONCODIR prevention programmes needs to address cost effectiveness, affordability and cost benefit parameters. Thus it will also investigate cost balancing and demand generating financial schemes that will lead to enhanced CRC prevention programmes. The coherent technological ecosystem that ONCODIR is developing is based on robust AI trustworthiness and privacy preserving principles to deploy recommendation services that will be specified by citizens, health policy actors and SSH experts, during three design thinking workshops. SSH research will address aspects such as the life-status, nutritional and social habits in tandem with Economics, Sociology and Local/Regional Cultural identity and Ethics. ONCODIR’s results will be validated in three Laboratory Integration Tests (LITs) and three Large-scale Intervention Pilots (LIPs) in five EU member states, with the active involvement of medical scientists, health care providers, foundations and consortium experts. The ONCODIR consortium is composed of complementary partners, coming from multidisciplinary research, technological and SSH domains, with a proven track record of high-quality research capacity. The carefully structured workplan, embodies a holistic approach toward meeting the ONCODIR objectives and delivering feasible policy-supporting outcomes of significant exploitation potential. This action is part of the Cancer Mission cluster of projects on ‘Prevention and early detection.",,,,2023,2026,,,,,,,,
ONCOSCREEN,,ONCOSCREEN,"A European “shield” against colorectal cancer based on novel, more precise and affordable risk-based screening methods and viable policy pathways",RIA - Diagnosis and treatment,,https://oncoscreen.health/,,,"Population-based screening for colorectal cancer (CRC) is recommended in the EU. Accounting for 12.4 % of all cancer deaths, only one in seven EU citizens participate in screening programmes. The EU-funded ONCOSCREEN project aims to reverse this trend by promoting accurate, non-invasive, cost-effective screening tests based on new technologies and an increased awareness on the disease. Personalised approaches for screening are needed to consider genetic and other socioeconomic variables and environmental stressors. With this in mind, the project will develop a risk-based, population-level stratification methodology for CRC to account for genetic prevalence, socioeconomic status and other factors. Bringing together a 38-partner consortium, the project is in line with Horizon Europe’s Cancer Mission.
With Colorectal Cancer (CRC) being accountable for 12.4% of all deaths due to cancer, and with only 14% of EU citizens participating in screening programmes, there is an urgent need for accurate, non-invasive, cost-effective screening tests based on novel technologies and an increased awareness on the disease and its detection. Furthermore, personalized approaches for screening are needed, to consider genetic and other socioeconomic variables and environmental stressors that lead to different onsets of the disease. ONCOSCREEN responds to these challenges by developing a risk-based, population-level stratification methodology for CRC, to account for genetic prevalence, socio-economic status, and other factors. It complements this methodology by a) developing a set of novel, practical, and low-cost screening technologies with high sensitivity and specificity, b) leveraging AI to improve existing methodologies for CRC screening, allowing for the early detection of polyps and provision of a personalized risk status stratification, and c) providing a mobile app for self-monitoring and CRC awareness raising. Furthermore, ONCOSCREEN develops an Intelligent Analytics dashboard for policy makers facilitating effective policy making at regional and national levels. Through a multi-level campaign, the above-mentioned solutions are tested and validated. For the clinical solutions specifically, a clinical validation study has been planned with the participation of 4100 enrolled patients/citizens. To ensure the adoption of the developed solutions by the healthcare systems, their cost-effectiveness and financial viability will be assessed. The 48-months duration project will be implemented by a multidisciplinary consortium comprising of 38 partners, including technical solutions providers, hospitals, Ministries of Health as policy makers, legal and ethics experts, Insurance companies, involving actively end-users/citizens in all phases of implementation through targeted workshops. This action is part of the Cancer Mission cluster of projects on ‘Prevention, including Screening.",,,,2023,2026,,,,,,,,
ONCOVALUE,,ONCOVALUE,Implementing value-based oncology care at European cancer hospitals: An AI-based framework for assessing real-life effectiveness of novel cancer therapies in real-time,RIA - Diagnosis and treatment,,https://oncovalue.org/,,,"ONCOVALUE will unlock the full potential of real world data (RWD) collected in European cancer hospitals and institutes to ease the decision-making of regulators on cost-effectiveness of novel cancer therapies. To achieve this, we build up data collection and processing capabilities of leading European cancer hospitals to create a high-quality clinical, quality of life, and adverse events data-sources.",,,,2022,2026,,,,,,,,
OPTIMA,,OPTIMA,Optimal treatment for patients with solid tumours in Europe through artificial intelligence,IMI - Research and Innovation,,https://www.optima-oncology.eu/,,,"The aim of OPTIMA is to harness the power of artificial intelligence to advance treatments and facilitate decision-making for physicians and patients with prostate, breast and lung cancer.",,,,2021,2026,,,,,,,,
PANCAID,,PANCAID,PANcreatic CAncer Initial Detection via liquid biopsy,RIA - Diagnosis and treatment,,https://pancaid-project.eu/,,,"Tumours release tiny amounts of cells or cellular material into the blood circulation. This is the basis for the diagnosis potential of liquid biopsies which, however, often suffer from reduced sensitivity or specificity. The EU-funded PANCAID project focuses on developing a diagnostic test for pancreatic cancer, one of the leading causes of cancer-related deaths worldwide. The test will combine multiple biomarkers and AI for analysis for high accuracy and sensitivity. Given the dismal prognosis of pancreatic cancer, the PANCAID test is expected to assist early detection for better management and clinical outcomes.
Pancreatic cancer (PDAC) is usually detected at late stages and most patients die within one year after diagnosis. In PANCAID we will therefore develop a blood test for early detection of PDAC. Despite tremendous technological advances in Liquid Biopsy Diagnostics (LBx), this goal is very ambitious because small tumors release only minute amounts of cells or cellular products (e.g. DNA, RNA, protein, metabolites) into the circulation. Thus, tests with a high sensitivity are required but increases in sensitivity are usually achieved on the expenses of reduced specificity which can lead to significant overdiagnosis leading to unnecessary stress for the individuals with a false-positive blood test and high costs for the health system. In PANCAID, we will therefore establish a blood test with high accuracy by analyzing large cohorts of patients with PDAC and its precursor lesions, individuals at risk to develop PDAC and appropriate age-matched control groups (healthy and non-cancer diseases frequent in the targeted population). 
Ambitious objectives of PANCAID include (1) establishment of a unique resource of blood samples of early PDAC and risk groups (WP1); (2) Establishment of a breakthrough blood test for early diagnosis of PDAC (WP2); (3) Identification of the best composite biomarker panel by integrating multimodal features in an AI-assisted computational analysis; (4) Analysis of the socio-economic impact of early PDAC diagnosis (WP4); and (5) Definition of the ethics parameters relevant to early PDAC detection (WP5). A robust multi-biomarker panel will be determined during the training period (year 1-3) and subsequently validated on bio-banked blood samples (year 4-5). Depending on the outcome of this comprehensive analysis, PANCAID will provide the design of a future prospective study for validation of the developed composite blood test in an international multi-center setting required to introduce LBx into screening programs for high-risk individuals. This action is part of the Cancer Mission cluster of projects on ‘Prevention, including Screening’.",,,,2023,2027,,,,,,,,
PCAVISION,,PCAVISION,"Prostate Cancer Diagnosis, Localisation and Characterisation using Ultrasound",Diagnosis and Treatment,,https://angiogenesis-analytics.nl/,,,"Currently, the prostate cancer (PC) diagnostic requires multiple invasive and painful biopsy procedures with a significant risk of adverse health events. Magnetic resonance imaging (MRI) represents an additional PC diagnostic tool but its accessibility to patients is poor. Angiogenesis Analytics in the Netherlands has developed a novel PC imaging diagnostic method based on modern ultrasound imaging technology and innovative signal processing algorithms.",,,,2021,2024,,,,,,,,
PERSIST-SEQ,,PERSIST-SEQ,Building a reproducible single-cell experimental workflow to capture tumour drug persistence,IMI - Research and Innovation,,https://persist-seq.org/,,,"Cancer kills almost 10 million people globally every year, making it a
leading cause of death. Some 90 % of these deaths occur in people who 
initially responded well to treatment, but whose cancer subsequently 
became resistant to treatment. The source of this drug resistance lies 
in rare cancer cells called ‘drug tolerant persister’ cells, or DTPs. 
Studies show that DTPs survive drug treatments by altering the activity 
of certain genes. However, the underlying mechanisms behind cancer drug 
resistance are poorly understood and it is currently difficult to 
predict, prevent and treat. 

The aim of PERSIST-SEQ is to shed new light on the mechanisms behind 
treatment resistance. To do this, they will develop a standardised 
approach to studying and sequencing the genetic code of individual 
cancer cells before, during and after treatment. In total, the project 
plans to use state-of-the-art technology to characterise 5 million cells
and will mainly focus on lung, colorectal and breast cancer.

Ultimately, the project will dramatically add to our understanding of
the underlying causes of treatment resistance in cancer, and make it 
easier for researchers to develop smarter treatment strategies that will
better treat cancer and prevent resistance.",,,,2021,2026,,,,,,,,
PIONEER,,PIONEER,Prostate cancer diagnosis and treatment enhancement through the power of big data in Europe,IMI - Research and Innovation,,https://prostate-pioneer.eu/,,,"Prostate cancer is the second most common cancer in men, and accounts for 9 % of all cancer deaths in men. Currently, it is hard to predict which patients will respond best to different treatments, and which patients can be managed safely without undergoing treatment. The aim of PIONEER is to use big data to address key knowledge gaps related to the screening, diagnosis and treatment of prostate cancer patients. To do this, they will standardise and integrate existing ‘big data’ from sources such as clinical trials and electronic health records into a single, innovative data platform. The project will draw on this database to identify ways to improve prostate cancer outcomes and health system efficiency. The project will apply FAIR (‘findable, accessible, interoperable, and reusable’) principles to the data. Ultimately, the project results should feed back into clinical centres so that patients can benefit from the best possible care.
PIONEER is part of IMI’s Big Data for Better Outcomes (BD4BO) programme.",,,,2018,2023,,,,,,,,
PragmaTIL,,PragmaTIL,Pragmatic approach to Adoptive Cell Therapy (ACT) using Tumor Infiltrating Lymphocytes (TIL) in selected solid tumors,RIA - Diagnosis and treatment,,,,,"The PragmaTIL trial aims to optimize treatment of cancer patients with Tumour-Infiltrating Lymphocytes Adoptive Cell Therapy (TIL-ACT) and substantially expand and improve the clinical implementation of this treatment modality in academic hospitals. To this end, treatment related toxicities, associated to high-dose interleukin 2 (HD-IL-2) required for expansion and activation of TILs will be reduced while maintaining efficacy. This improved tolerability will achieve a better clinical management of patients and enhance their quality of life, both of which represent major barriers for applying this treatment. The objectives of PragmaTIL are: i) To determine whether TIL-ACT using IL-2 analog ANV419 reduces the frequency of Grade 2-4 study-related non-hematological toxicities; ii) To compare the quality of life (QoL) of patients during their hospitalization period, using ANV419 vs HD-IL-2. Also, to compare short and long-term measurements of treatment-related toxicities and QoL co-defined by and for patients and their caregivers; and iii) To develop the health technology assessment (HTA) of TIL-ACT using ANV419, as well as a social return of investment (SROI) analysis. To achieve 
these objectives, the PragmaTIL project is structured into 6 WP that cover all the requirements to implement the project: WP1) Clinical Trial; WP2) IMPD Coordination, RA and Pharmacovigilance; WP3) Patients as co-researchers and Evaluation of Short- and Long-term PROs; WP4) Health Economics; WP5) SROI, Sustainability and Exploitation; WP6) Scientific Coordination, Project Management, Communication and Dissemination. The global impact of this project will not only reach patients, clinical and translational researchers and policy makers but may help to achieve a better acceptance of these therapies by society at large.",,,,2023,2028,,,,,,,,
PRECODE,,PRECODE,PancREatic Cancer OrganoiDs rEsearch Network,Training & Research Networks,,https://precode-project.eu/,,,"The PRECODE Network (PancREatic Cancer OrganoiDs rEsearch) central mission is to establish pancreatic organoid research firmly in the European Union, by training the next generation of creative and innovative researchers in pancreatic cancer.",,,,2019,2024,,,,,,,,
PREVENT,,PREVENT,Improving and upscaling primary prevention of cancer by addressing childhood obesity through implementation research - the PREVENT approach,RIA - Diagnosis and treatment,,,,,"""PREVENT improves upscaling of primary interventions for weight control management during childhood and adolescence to reduce cancer risks in adulthood. This relies on current evidence that relates excess body weight with increased cancer risk. 
Towards this end, PREVENT applies a series of implementation research actions in the following directions. First, it identifies barriers to current interventions and policies preventing them from upscaling to different geographical, socio-economic, and cultural settings. Then, it introduces new multi-actor and context-aware interventions along with new user engagement strategies to face the current upscaling bottlenecks; multi-actor in the sense that they target different types of users (e.g. students, family, educators, policymakers) and context-aware in the sense that PREVENT interventions are tailored to the specific implementation places (class, canteen, sports fields, labs, outside school). The PREVENT new policies are adapted, piloted, and scaled up within the schools’ communities of three European countries facing different epidemiological settings on childhood obesity, geographic, socio-economic and cultural attributes. The pilots are designed to be holistic end-to-end ecosystems, including users, medical professionals, policymakers, public authorities, and civil communities. They focus on the whole school communities of Greece, Sweden, and Spain-Catalonia, that is, PREVENT outreach to more than 3.3 million students, required for guideline provisioning, large-scale implementation, multi-parameter assessment, and scaling-up. Co-creation, active behavioral change, self-evaluation through user empowerment, motivational interviewing, social innovation, digital-assistive engagement, health apps, and multi-domain assessment are implementation research aspects of PREVENT to advance user acceptability and compatibility with existing policies, and thus improve sustainability and upscaling. This action is part of the Cancer Mission cluster of projects on """"Prevention and Early Detection"""".""",,,,2023,2027,,,,,,,,
PRIME-ROSE,,PRIME-ROSE,PRecisIon Cancer MEdicine RepurpOsing SystEm Using Pragmatic Clinical Trials,RIA - Diagnosis and treatment,,,,,"The PRIME-ROSE consortium envisions to support Mission Cancer through the following objectives: 1) increase access to optimised and affordable treatment interventions for cancer patients that prolong life and increase quality of life, 2) generate clinical evidence and evaluate effectiveness in Precision Cancer Medicine (PCM)-relevant and synthetically randomised, controlled academic investigator-initiated pragmatic clinical trials, and 3) work together across Europe with relevant experts to implement evidence-based PCM in routine practice and address inequalities in access.",,,,2023,2028,,,,,,,,
ProCancer-I,,ProCancer-I,"An AI Platform integrating imaging data and models, supporting precision care through prostate cancer’s continuum",RIA - Diagnosis and treatment,,https://www.procancer-i.eu/,,,"The EU-funded ProCAncer-I project proposes to develop advanced artificial intelligence models to address unmet clinical needs: diagnosis, metastases detection and prediction of response to treatment.",,,,2020,2024,,,,,,,,
PROSCOPE,,PROSCOPE,Point-of-care instrument for diagnosis and image-guided intervention of Colo-Rectal Cancer,RIA - Diagnosis and treatment,,https://www.proscope-h2020.eu/,,,"The goal of the EU-funded PROSCOPE project is to develop a novel optical imaging platform that provides higher sensitivity and specificity compared to current colonoscopy, dramatically improving point-of-care management of colorectal cancer.",,,,2020,2023,,,,,,,,
PROTECT- trial,,PROTECT- trial,Proton versus photon therapy for esophageal cancer - a trimodality strategy,RIA - Diagnosis and treatment,,https://protecttrial.eu/,,,"Radiotherapy plays a key role in the treatment of many cancers. However, as conventional radiotherapy can cause side effects in surrounding organs, the dose is limited meaning that treatment takes longer and can be less effective. Proton therapy is an innovative form of radiotherapy. As the treatment is more focused on the tumour itself, a higher dose can be delivered while limiting damage to other, healthy organs, leading to shorter treatment for patients, and hopefully, better outcomes.

The aim of the PROTECT-trial project is to compare the results of proton therapy and radiotherapy for people with cancer of the oesophagus whose treatment also includes chemotherapy and surgery. The team will do this by carrying out a clinical trial involving 400 patients in 9 countries. Among other things, they will assess the impact of the two treatments on tumour control, survival, and the severity of side effects.

If the results of the trial come out in favour of proton therapy, it could become a standard treatment option for patients with cancer of the oesophagus. The hope is that with proton therapy, patients will recover faster and experience fewer side effects, dramatically improving their quality of life. The project will also provide evidence of the economic impacts of proton therapy, something which will help with health technology assessment (HTA) and reimbursement decisions in Europe.

Although PROTECT-trial focuses on cancer of the oesophagus, the results will have implications for many other cancers where proton therapy could replace standard radiation therapy.",,,,2021,2027,,,,,,,,
REBECCA,,REBECCA,REsearch on BrEast Cancer induced chronic conditions supported by Causal Analysis of multi-source data,RIA - Diagnosis and treatment,,https://rebeccaproject.eu/,,,This EU-funded project will use real-world data to improve post-treatment in breast cancer. It will also design guidelines and best practices for researchers and public health and regulatory bodies throughout Europe.,,,,2021,2025,,,,,,,,
Sagittarius,,Sagittarius,A Precision Medicine Trial leveraging Blood-based Tumor Genomics to optimize Treatment in operable Stage III and High-Risk Stage II Colon Cancer Patients - The Sagittarius Trial,RIA - Diagnosis and treatment,,,,,"SAGITTARIUS aim to optimize the clinical management of locoregional stage II high-risk/stage III colon cancer (LRCC). Approximately half of all LRCC patients relapse within two years from time of curative surgery because of imaging-undetectable micro-metastatic residual disease (MMRD). Given the lack of reliable predictors of individual risk, LRCC patients are treated with a one-fits-all adjuvant chemotherapy. This gunshot approach results in either over- or under-treatment. Measuring circulating tumor DNA (ctDNA) in the patients’ bloodstream can diagnose MMRD. Retrospective studies show that ctDNA detection after surgery predicts cancer recurrence with high sensitivity and specificity.",,,,2023,2028,,,,,,,,
SALVOVAR,,SALVOVAR,"A European Multi-Disciplinary Clinical Project meant to improve the Management of Patients with poor Prognostic Ovarian Cancer after Neoadjuvant Chemotherapy: Restoring Hope, Salvaging Lives",RIA - Diagnosis and treatment,,,,,"The standard medical-and-surgical treatment of ovarian carcinoma patients relies on a systemic chemotherapy (carboplatin-paclitaxel), a tumor debulking surgery meant to be complete (no post-operative residual lesion), and a subsequent maintenance treatment with modern targeted agents. Recent studies identified a patient population (~14,000 patients / year in Europe), whose prognostic is poor (5 year-overall survival (OS) <20%) due to a refractory cancer, characterized by a poor chemosensitivity (assessable online with the numeric CA-125 KELIMTM score <1.0) and by a disease found non-resectable disease after 3-4 cycles of chemotherapy. In these patients, there is a high uncertainty about the best treatment adjustments to apply. 
SALVOVAR is a European project led by HCL, meant 1) to raise the physician awareness, and propose practical and affordable diagnostic tools for identifying these patients, and 2) to assess the utility (OS benefit), acceptability (quality-of-life; patient perception) and affordability (cost-effectiveness, including country coverage policies) of solutions based on adjustments of their medical-and-surgical treatment. These solutions implementable in routine may improve their prognosis, according to recent literature data. The project will be based on a large pragmatic randomized phase III trial, sponsored by ARCAGY-GINECO group, and activated in 6 countries (ENGOT network; ~100 recruiting centers), with the objective of demonstrating an OS benefit with the chemotherapy densification (weekly carboplatine-paclitaxel dose-dense regimen) compared to the continuation of the standard 3-weekly regimen. Total 685 patients treated with the standard neo-adjuvant chemotherapy will be pre-screened to randomize 240 patients. Dissemination, and communication will be carried-on to ensure the quality of the project, and inform the stakeholders, patients, public, health authorities/ payers of the project outcomes, mean to change the practices. 
This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment’.",,,,2023,2028,,,,,,,,
SANGUINE,,SANGUINE,Early detection and screening of hematological malignancies,RIA - Diagnosis and treatment,,,,,"he SANGUINE project focuses on hematological malignancies, which account for 10% of those cases, and aims to target the four objectives of the Cancer Mission: (1) understanding, (2) prevention, including screening and early detection, (3) diagnosis, and (4) quality of life improvement of the patients and their relatives.",,,,2023,2025,,,,,,,,
SISAQOL-IMI,,SISAQOL-IMI,Establishing international standards in the analysis of patient reported outcomes and health-related quality of life data in cancer clinical trials,IMI - Research and Innovation,,https://www.sisaqol-imi.org/,,,"SISAQOL-IMI will establish guidance on how to use patient-reported outcomes in cancer clinical trials so that they can be used in a methodologically sound way, analysed in a statistically adequate manner, and intelligibly presented to ensure a high study quality and a better comparability of results across clinical trials.",,,,2021,2024,,,,,,,,
STREXIT2,,STREXIT2,A Pragamatic Clinical Study of Neoadjuvant Chemotherapy followed by Sugergy versus Surgery alone for Patients with High Risk Retroperitoneal Sarcoma,RIA - Diagnosis and treatment,,https://www.eortc.org/,,,"Retroperitoneal sarcomas are rare diseases refractory to treatment with dismal prognosis. Surgery is the only standard approach to primary disease. We are proposing an innovative pragmatic approach supplementing a standard phase III clinical trial with an observational cohort. It is proposed to amend the ongoing phase III EORTC clinical trial STRASS2 investigating the added value of neoadjuvant chemotherapy before surgery for high-risk retroperitoneal sarcoma and to add an observational arm STREXIT2 that will capture real world data from patients not participating to STRASS2. We will compare the clinical outcomes between STRASS2 and STREXIT2 and explore the possible combination of STRASS2 and matched STREXIT2 patients to strengthen the results of the randomized clinical trial data and increase the power of subgroup analyses. If conclusive, the proposed research will help to understand the clinical added value and costs-effectiveness of neoadjuvant chemotherapy before surgery for high-risk retroperitoneal sarcoma. We will perform health economics analysis assessing the economic value of different treatment scenarios based on STRASS2 and STREXIT2. If successful, the outcomes of the project will define a new evidence-based standard of care for high-risk retroperitoneal sarcomas. The proposed research could lead to improved patient survival and quality of life but also improving health system sustainability. This is a multidisciplinary and multistakeholder consortium involving clinical oncologists, surgeons, health economists and patient representatives. The study design was successfully discussed with patients. This action is part of the Cancer Mission cluster of projects on ‘Diagnosis and treatment’.",,,,2023,2028,,,,,,,,
T2EVOLVE,,T2EVOLVE,Accelerating development and improving access to CAR and TCR-engineered T cell therapy,IMI - Research and Innovation,,https://t2evolve.com/,,,The aim of T2EVOLVE is to develop an innovation ecosystem that will accelerate the development of engineered T cell therapies in the EU.,,,,2021,2025,,,,,,,,
ThermoBreast,,ThermoBreast,An innovative non-contact and harmless screening modality set to change the course of breast cancer detection and patient monitoring,RIA - Prevention and Early Detection,,https://thermobreast.eu/,,,"The EU-funded ThermoBreast project represents a consortium of 16 partners from 10 countries that proposes a novel non-contact screening for all age groups and breast densities, capable of detecting pre-cancerous states. The proprietary technology from ThermoMind LTD can detect vascular abnormalities associated with cancer development.",,,,2023,2026,,,,,,,,
CLASSICA,,CLASSICA,The future of AI assisted cancer surgery,RIA - Diagnosis and treatment,,https://classicaproject.eu/,,,"CLASSICA is an EU-funded project looking at how to deploy cancer classification AI technology in the operating theatre. We will clinically validate a novel AI-guided intraoperative decision-support technology across several clinics, surgical teams, and countries. Our technology will differentiate between cancerous and non-cancerous tissues in real-time.",,,,2022,2026,,,,,,,,
OperA,,OperA,Optimising Colorectal Cancer Prevention Trough Personalised Treatment with Artificial Intelligence,RIA - Prevention and Early Detection,,,,,"Artificial intelligence is expected to personalise treatment of colorectal cancer and reduce the incidence and mortality rates. This is the aim of the EU-funded OperA project. Specifically, it will carry out a Europe-wide, population-based, randomised trial to establish the value of AI-assisted colonoscopy in colorectal cancer prevention. Overall, the project's goal is to drastically improve colorectal cancer care.",,,,2022,2027,,,,,,,,
AIDAVA,,AIDAVA,AI powered Data Curation & Publishing Virtual Assistant,RIA - Data science,,https://www.aidava.eu/,,,"Integrated, high-quality personal health data (PHD) represents a potential wealth of knowledge for healthcare systems, but there is no reliable conduit for this data to become interoperable, AI-ready and reuse-ready at scale across institutions, at national and EU level. AIDAVA will fill this gap by prototyping and testing an AI-powered, virtual assistant maximizing automation of data curation & publishing of unstructured and structured, heterogeneous data. The assistant includes a backend with a library of AI-based data curation tools and a frontend based on human-AI interaction modules that will help users when automation is not possible, while adapting to users preferences. The interdisciplinary team of the consortium will develop and test two versions of this virtual assistant with hospitals and emerging personal data intermediaries, around breast cancer patient registries and longitudinal health records for cardio-vascular patients, in three languages. The team will work around four technology pillars: 1) automation of quality enhancement and FAIRification of collected health data, in compliance with EU data privacy; 2) knowledge graphs with ontology-based standards as universal representation, to increase interoperability and portability; 3) deep learning for information extraction from narrative content; and 4) AI-generated explanations during the process to increase users confidence.",,,,2022,2026,,,,,,,,
BUMPER,,BUMPER,Boosting the usability of the EU mobile app for cancer prevention,EU4health - Prevention,,https://bumper.cancer.eu/project/,,,"BUMPER aims at interfacing with the action that will design and programme the EU Mobile App itself and provide guidance on the content and focus of the App, contributing to ensuring its scientific validity.",,,,2022,2024,,,,,,,,
TOGAS,,TOGAS,Towards Gastric Cancer Screening Implementation in the European Union,EU4health - Early Detection,,https://www.togas.lu.lv/,,,"No effective screening method for preventing gastric cancer is available in Europe. Elimination of H. pylori bacteria is expected to cut mortality by 40%. Another approach is early detection and monitoring of precancerous lesions.
To reduce the burden of gastric cancer, TOGAS will develop novel approaches for screening and early detection of the disease. TOGAS has three specific objectives:

assessment of the state of play and the needs of EU Member States and target populations as regards gastric cancer prevention, including information on ‘opportunistic’ screening initiatives organised in public and private settings;
assessment of the suitability for use in the EU of various gastric cancer screening methods;
to ensure the sustainability of the project results through an effective dissemination strategy and coordination of the TOGAS methodology with approaches used in the EU, including European guidelines and quality assurance schemes.

TOGAS will involve three pilot studies, each designed to address specific aspects of gastric cancer screening and early detection. Cost-effectiveness and medical ethics will be important areas of focus for the project.",,,,2023,2026,,,,,,,,
