providerIdentifier,organisation,hasSubmittedData
04fr7pd94,Institute for the Separation Chemistry in Marcoule,False
04fy20a51,Institute of Researches on Catalysis and Environment in Lyon,False
012wxdw12,Institut de Sciences des Matériaux de Mulhouse,False
004fmxv66,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,True
01g3mb532,Hubert Curien Pluridisciplinary Institute,True
02me5cy06,Developmental Biology Institute of Marseille,False
028ta1f94,Chimie de la Matière Condensée de Paris,False
03m0zs870,Stem-Cell and Brain Research Institute,True
048xwe611,Institut de Biochimie et Génétique Cellulaires,False
000pvc513,Institut de Chimie de Nice,False
03az79194,Laboratoire National Henri Becquerel,False
023apm738,"Centre d'Exploration et de Recherche Médicale par Emission de Positons",False
01c8cwz57,Institut pour la Recherche sur le Cancer de Lille,False
0015ws592,Institute of Genetics and Molecular and Cellular Biology,False
0454zjr22,Infectiologie Animale et Santé Publique,False
01xyqts46,Research Institute against Digestive Cancer,True
02haar591,Institut Pierre-Simon Laplace,False
04nwrtj56,Centre d’Étude et de Valorisation des Algues,True
04jtw9y77,"Centre d'études de l'emploi",False
03vj88s15,"Centre d'Etudes Prospectives et d'Informations Internationales",False
05denqv03,"Centre de Robotique Intégrée d'Ile de France",True
004rej139,Centre National de Recherches Météorologiques,False
05xw0wj25,French Clinical Research Infrastructure Network,False
05eb99a58,"Centre technique de l'Industrie Horlogère",True
05txx3b87,Centre Technique des Industries Aérauliques et Thermiques,True
00ygxqz19,Association de Coordination Technique Agricole,True
05rynnb36,Renater,True
0318myr61,Arvalis - Institut du Végétal,True
0509ggw88,III V Lab,False
023xbne13,"Institut d'Économie Industrielle",False
05ee10k25,Institute of Human Genetics,True
02sxjwh33,Centre Occitanie-Toulouse,False
0291jbz11,Grapevine Health and Wine Quality,False
0471cyx86,Micalis Institute,False
028fzwe08,Laboratoire des Procédés en Milieux Granulaires Granulaires,True
04247y265,Unité de Recherche Pluridisciplinaire Prairies et Plantes Fourragères,True
04as3rk94,Grenoble Institute of Neurosciences,False
00tebkv94,Centre Nouvelle Aquitaine-Bordeaux,False
03vyzg221,Molecular and Atmospheric Spectrometry Group,True
04team556,Nuclear Dynamics,False
04w11tv37,Subcellular Structure and Cellular Dynamics,False
01cmdpn82,"Signalisation, Neurobiologie et Cancer",False
01zefvs55,Immunity and Cancer,False
007dy3y92,Lyons Institute of East Asian Studies,False
009p5nb11,Centre de Référence Déficits Immunitaires Héréditaires,True
046nez754,Angiogenesis and Cancer Microenvironment Laboratory,True
014ycqe77,"Institut d'Économie Publique",False
03br1wy20,Institut Fresnel,True
029rfe283,Centre Méditerranéen de Médecine Moléculaire,False
04s0b8n66,"Institut d'Histoire du Temps Présent",False
04jx68594,"École Nationale Supérieure de Mécanique et d'Aérotechnique",False
038srqh25,Études Métallurgiques Traitements Thermiques,True
028pnqf58,Genoscope,False
03tnb9s98,Holo3,True
03t2hta05,"Laboratoire d'Analyses Génétiques pour les Espèces Animales",True
02mn0vt57,"Institut de l'Information Scientifique et Technique",False
03v6yxf25,National Institute of Statistics and Economic Studies,False
04vj6zn89,Institut Sophia Agrobiotech,False
05bea9918,French-German Research Institute of Saint-Louis,False
022bnxw24,"Institut d'Astrophysique de Paris",False
0323bey33,Institut Lumière Matière,True
03vvfjv50,OpticsValley,False
022y5bk62,"Maison des Sciences de l'Homme",False
032582s48,Besançon Astronomical Observatory,False
013dgcw28,Observatório Les Engarouines,False
02a97td45,Observatoire de Dauban,False
01gtjxz83,Haute-Provence Observatory,False
039fj2469,Observatoire de la Côte d’Azur,True
030syve83,Observatoire Midi-Pyrénées,True
04xsj2p07,Observatory of Strasbourg,False
05evznf71,"Institut de Recherche et d'Histoire des Textes",False
049nhh297,"Laboratoire d'Annecy-le-Vieux de Physique des Particules",True
01na0pb61,Institut de Biologie Physico-Chimique,True
05xr3b330,Institut des Sciences Moléculaires de Marseille,False
03w7j1z86,Centre de Recherche et de Veille sur les Maladies Emergentes dans l’Océan Indien,True
00s8hq550,"Centre d'Etudes Biologiques de Chizé",False
01kcrnc96,"Institut de Planétologie et d'Astrophysique de Grenoble",True
00t9y0z13,International Research Institute for Radio Astronomy,True
02xq0x374,Research Institute of Horticulture and Seeds,False
05ry90052,Alphabio,True
01jvz7e61,Unité de Virologie et Immunologie Moléculaires,True
04w6kn183,Fondation pour la Recherche Médicale,False
01kv58h76,Agence Nationale de Recherches sur le Sida et les Hépatites Virales,False
01rx4qw44,Toulouse Institute of Computer Science Research,False
00jhh5t96,Institute of Environmental Biology and Biotechnology,False
052wcqj17,Institut de Biologie et Technologies,False
03bk36k19,Infectious Disease Models and Innovative Therapies,False
04ef91678,Institut de Radiobiologie Cellulaire et Moléculaire,True
02w3v0826,Institut Nanosciences et Cryogénie,False
03dsd0g48,"Laboratoire des Sciences du Climat et de l'Environnement",False
02s4dmd79,"Miniaturisation pour la Synthèse, l'Analyse et la Protéomique",False
01rnfhz46,Matériaux Ingénierie et Science,True
033t7vz72,"Processus d'Activation Sélective par Transfert d'Énergie Uni-électronique ou Radiatif",False
012fqzm33,Génétique Quantitative et Évolution Le Moulon,False
001r32c80,Physiologie Membranaire et Moléculaire du Chloroplaste,False
04w61vh47,Laboratoire de Reproduction et Développement des Plantes,True
00m7zca23,Science et Ingénierie des Matériaux et Procédés,False
003qhrc72,Human Nutrition Unit,True
02ftce284,Laboratoire Charles Coulomb,True
021ddkf20,Institut de Recherches Historiques du Septentrion,False
046hjmc37,Laboratoire Charles Fabry,True
043a21x04,Paul Pascal Research Center,False
010rs2a38,Département de Chimie Moléculaire,True
023n9q531,Laboratoire Interdisciplinaire de Physique,False
056wdpc91,Cognitive Neuroimaging Lab,True
01c8rcg82,Grenoble Computer Science Laboratory,True
05etkex69,Department of Genomes & Genetics,False
01yypjb30,"Laboratoire d'Ingénierie des Systèmes Biologiques et des Procédés",False
01xx2ne27,Department of Virology,False
03kwnqq69,Centre d’Élaboration de Matériaux et d’Études Structurales,False
03mxktp47,"Institut de Biologie de l'École Normale Supérieure",False
00se7bf12,Institut de Chimie de Strasbourg,False
001n7ee52,Institut de Chimie des Milieux et des Matériaux de Poitiers,False
05wzh1m37,"Institut de Chimie Moléculaire et des Matériaux d'Orsay",False
04fr7pd94,Institute for the Separation Chemistry in Marcoule,False
04fy20a51,Institute of Researches on Catalysis and Environment in Lyon,False
012wxdw12,Institut de Sciences des Matériaux de Mulhouse,False
004fmxv66,Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies,False
01g3mb532,Hubert Curien Pluridisciplinary Institute,True
02me5cy06,Developmental Biology Institute of Marseille,False
028ta1f94,Chimie de la Matière Condensée de Paris,True
03m0zs870,Stem-Cell and Brain Research Institute,False
048xwe611,Institut de Biochimie et Génétique Cellulaires,False
000pvc513,Institut de Chimie de Nice,True
00gj33s30,Institut de Chimie et Biochimie Moléculaires et Supramoléculaires,False
02tn0tm63,"Institute of Chemistry and Processes for Energy, Environment and Health",True
03ywn7d79,Institute of Organic and Analytical Chemistry,False
038fcbc74,Institut de Génomique Fonctionnelle de Lyon,True
03taa9n66,"Institut de Microélectronique, Electromagnétisme et Photonique",True
02s6m8n84,Institut de Recherche de Chimie Paris,False
03zq0xc17,Institut de Recherche sur les Phénomènes Hors Équilibre,True
03t2f0a12,Paris Institute of Nanosciences,True
025mhd687,Institute of Cellular and Integrative Neurosciences,False
00222yk13,"Institut des Sciences Analytiques et de Physico-Chimie pour l'Environnement et les Matériaux",True
03x9frp33,Institut du Fer à Moulin,False
032j53342,Interdisciplinary Institute for NeuroScience,True
043we9s22,"Institut Jean Le Rond d'Alembert",True
03qbdej90,"Centre Provence-Alpes-Côte d'Azur",False
03vgfxd91,Institut Pascal,False
05vjdsn22,Institut Pprime,True
00x76wb44,Jean-Pierre Aubert Research Center,False
055wjj883,Institut de Biosciences et Biotechnologies,True
0075hvk77,Heuristics and Diagnostics for Complex Systems,False
012e1xn46,Centre de Mathématiques Appliquées,False
05ee10k25,Institute of Human Genetics,False
02sxjwh33,Centre Occitanie-Toulouse,False
0291jbz11,Grapevine Health and Wine Quality,False
0471cyx86,Micalis Institute,True
028fzwe08,Laboratoire des Procédés en Milieux Granulaires Granulaires,False
04247y265,Unité de Recherche Pluridisciplinaire Prairies et Plantes Fourragères,True
01tsa0x55,Environnements et Paléoenvironnements Océaniques et Continentaux,False
03x1z2w73,"Laboratoire d'Écologie Alpine",False
053vv7851,Microbial Ecology,False
03nqvpf75,"Laboratoire d'Étude des Microstructures",False
018b0x874,"Laboratoire d'Hydrodynamique",False
02wrme198,Grenoble Images Parole Signal Automatique,True
04t50yk91,"Laboratoire d'Informatique Gaspard-Monge",True
02ek9wp67,Groupement de Recherche en Économie Quantitative d’Aix-Marseille,False
01f1vfy95,"Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes",False
03czns913,"Laboratoire d'Optique Appliquée",False
024hnwe62,Laboratoire de Biologie du Développement,False
01bj4fd12,Laboratoire de Biologie Moléculaire de la Cellule,True
010hz2d37,"Laboratoire d'Annecy-le-Vieux de Physique Théorique",True
02dd25k08,Laboratoire de Chimie et Biologie des Métaux,False
01eem7c55,Imaging and Brain,False
02xnnng09,Laboratoire de Génie Électrique et Électronique de Paris,True
04msnz457,"Laboratoire de l'Informatique du Parallélisme",False
04nabhy78,"Laboratoire de l'Intégration du Matériau au Système",True
0156gk772,"Laboratoire de Mécanique des Sols, Structures et Matériaux",True
04e8pda19,Organic and Analytical Chemistry Laboratory,False
02dm0bq25,Institut de Transplantation Urologie en Nephrologie,True
01et6g203,Pathophysiology and Novel Therapies,False
043pfpy19,Laboratoire des Écoulements Géophysiques et Industriels,False
05xanhp90,"Récepteurs Nucléaires, Maladies Cardiovasculaires et Diabète",True
02dyaew97,Laboratory of Solid State Physics,False
03c0nx407,Institute of Molecular Chemistry Reims,False
000d5zy28,Institut de Chimie Radicalaire,True
00wrnm709,Institute of Mechanics and Engineering,False
03txr3336,Institut de Combustion Aérothermique Réactivité et Environnement,False
00b8mh310,Institute for Regenerative Medicine & Biotherapy,False
05abgg682,"Institute of Mineralogy, Materials Physics and Cosmochemistry",True
043hw6336,Institut de Neurosciences de la Timone,False
05m3r1b84,Institut de Mathématiques de Bordeaux,False
0325zb480,Institute of Paleoprimatology Human Paleontology Evolution and Paleoenvironments,True
044kxby82,Institut de Mathématique et de Modélisation de Montpellier,True
002zc3t08,Institut de Mécanique Céleste et de Calcul des Éphémérides,True
00jxe7243,Laboratoire Physiologie Cellulaire & Végétale,False
01yr0r787,Laboratoire des Sciences des Procédés et des Matériaux,True
01ffjs081,Ecologie & Evolution,True
00enct420,Service Interdisciplinaire sur les Systèmes Moléculaires et les Matériaux,True
02wy3s959,"Laboratoire d'Énergétique Moléculaire et Macroscopique, Combustion",False
00mxvjp83,Laboratoire Francis Perrin,False
01a0gpy77,Théoriser et Modéliser pour Aménager,False
03xe54902,"Cognition, Action, and Sensorimotor Plasticity",False
04d70nb60,"Lipides, Nutrition, Cancer",True
02fdv8735,Lagrange Laboratory,False
01h14ww21,Kastler-Brossel Laboratory,False
020ahr442,Laboratoire Microorganismes Génome et Environnement,False
02q6fa122,Dynamics of Genetic Information Fundamental Basis and Cancer,False
01k1ngp50,Complexe de Recherche Interprofessionnel en Aérothermochimie,False
00mdx2x22,Laboratoire Printemps,True
00357kh21,"Maladies Infectieuses et Vecteurs: Écologie, Génétique, Évolution et Contrôle",False
00w5ay796,"Laboratoire de Physique de l'ENS de Lyon",True
00vctdx48,"Théorie Économique, Modélisation et Applications",False
02s4dmd79,"Miniaturisation pour la Synthèse, l'Analyse et la Protéomique",False
01rnfhz46,Matériaux Ingénierie et Science,False
033t7vz72,"Processus d'Activation Sélective par Transfert d'Énergie Uni-électronique ou Radiatif",False
012fqzm33,Génétique Quantitative et Évolution Le Moulon,True
001r32c80,Physiologie Membranaire et Moléculaire du Chloroplaste,True
04w61vh47,Laboratoire de Reproduction et Développement des Plantes,False
00m7zca23,Science et Ingénierie des Matériaux et Procédés,True
003qhrc72,Human Nutrition Unit,False
02ftce284,Laboratoire Charles Coulomb,False
021ddkf20,Institut de Recherches Historiques du Septentrion,False
046hjmc37,Laboratoire Charles Fabry,False
043a21x04,Paul Pascal Research Center,True
010rs2a38,Département de Chimie Moléculaire,True
023n9q531,Laboratoire Interdisciplinaire de Physique,False
056wdpc91,Cognitive Neuroimaging Lab,False
01c8rcg82,Grenoble Computer Science Laboratory,False
05etkex69,Department of Genomes & Genetics,False
01yypjb30,"Laboratoire d'Ingénierie des Systèmes Biologiques et des Procédés",True
01xx2ne27,Department of Virology,False
03kwnqq69,Centre d’Élaboration de Matériaux et d’Études Structurales,False
02erddr56,Unité Mixte de Physique CNRS/Thales,False
00f7srh09,XLIM,True
02910d597,Centre Lasers Intenses et Applications,True
021xexe56,Laboratoire Aimé Cotton,False
015vtcw98,Laboratoire de Tribologie et Dynamique des Systèmes,False
05krcen59,Laboratoire de Recherche en Informatique de Paris 6,False
05hyx5a17,Laboratoire de Génie Électrique de Grenoble,True
01b2epx09,"Laboratoire des Sciences de l'Ingénieur pour l'Environnement",False
01fv25t22,Saclay Nuclear Research Centre,False
04e89s906,"Laboratoire de Physique des Lasers, Atomes et Molécules",True
042xmz674,Laboratoire de Physique et Chimie des Nano-Objets,False
014p6mg26,Laboratoire de Psychologie et NeuroCognition,False
05qsp5m64,"Laboratoire Ondes et Matière d'Aquitaine",True
05whq8x35,Laboratoire Parole et Langage,False
01dp2pa47,Unit of Virus Host Cell Interactions,False
03vdg7e33,"Laboratoire Photonique, Numérique et Nanosciences",False
01xpc6869,Centre for Biochemical and Macromolecular Research,False
04vrqzz54,Laboratory of Catalysis and Solid State Chemistry,True
02y0gk295,"Centre de Recherche sur les Ions, les Matériaux et la Photonique",False
03q99v794,Unité Matériaux et Transformations,False
01b436806,International Research Center on Environment and Development,False
03jtzcc30,Chimie et Biologie des Membranes et des Nanoobjects,False
0509qp208,"Centre d'Etudes et de Recherches Appliquées à la Gestion",True
0189yvq06,Centre de Biochimie Structurale,False
042fmc481,"Groupe d'Analyse et de Théorie Economique Lyon St Etienne",False
0322sf130,Institut NeuroMyoGène,False
01kvxx237,Fédération de Recherche FCLAB,False
041v2hk34,"Immunologie, Immunopathologie et Chimie Thérapeutique",False
01h0a3k64,Laboratoire de Génétique & Evolution des Populations Végétales,False
00vcrsw96,Génétique et Immunologie des Maladies Parasitaires,False
04fc8dp24,Medical Genetics & Functional Genomics,False
02wycgj20,"Molécules d'Intérêt Biologique",False
02gaw1s20,Laboratoire de Chimie,False
02pr0xw82,"Laboratoire Chimie de l'Environnement",True
01wrng808,Group of Study of Condensed Matter,True
048yvwh14,Bioingénierie et Dynamique Microbienne aux Interfaces Alimentaires,False
04t89f389,"Laboratoire de Géologie de Lyon : Terre, Planètes et Environnement",False
04hke8425,Laboratoire de Biologie du Développement de Villefranche-sur-Mer,False
03njrcx45,Laboratoire de Biologie et Pharmacologie Appliquée,False
023f9y602,Laboratory of Physics of Interfaces and Thin Films,False
02160my55,Laboratory of Polymer Materials Engineering,False
043jbda17,"Groupe de Musique Electroacoustique d'Albi",False
03q7p3t30,Laboratoire de Chimie Moléculaire et Thioorganique,False
04db3be62,Laboratoire de Chimie Organique,False
0086zww50,Research Group in Theoretical and Applied Economics,True
04fqvqs63,Biologie Tissulaire et Ingénierie Thérapeutique,True
03ab0zs98,Département de Mathématiques,False
03yaydt41,Biomécanique et Bioingénierie,False
02ght4n58,Laboratoire de Mathématiques de Bretagne Atlantique,False
039qyzw66,"Laboratory of Chemistry, Catalysis, Polymers and Process",False
0032sc770,Laboratory of Biophotonics and Pharmacology,False
00g669j87,Laboratory of Mathematics and their Applications,False
03g38sn14,Laboratory Colloïdes et Matériaux Divisés,False
043749971,"Groupe de Recherche en Informatique, Image, Automatique et Instrumentation de Caen",False
035emn182,Laboratory of Agro-Industrial Chemistry,False
00rh71z37,Laboratory of Design and Application of Bioactive Molecules,False
01c62av11,"Groupe de Recherche sur l'Alcool et les Pharmacodépendances",False
01k1v7590,Laboratoire de Mathématiques Raphaël Salem,True
000ehr937,Laboratoire de Météorologie Dynamique,True
022txr781,Laboratoire de Physique Corpusculaire de Caen,False
042ds2135,"Groupe de Recherches sur l'Energétique des Milieux Ionisés",False
04eg25g76,"Laboratoire de Conception et d'Intégration des Systèmes",False
05sd5r855,Laboratoire de Mathématiques,True
03gz4y884,Laboratoire de Météorologie Physique,True
04dxeze48,"Laboratoire de Mécanique des Fluides et d'Acoustique",False
04kgf6p94,Physics of Ionic and Molecular Interactions,False
002ty1h48,"Laboratoire pour l'Utilisation des Lasers Intenses",True
00dyt5s15,Center for Infection and Immunity of Lille,False
02m9cs548,Laboratoire de Réactivité et Chimie des Solides,False
05thdk431,"Laboratoire Procédés, Matériaux et Energie Solaire",False
001c8pb03,Laboratory of Integrative Biology of Marine Model,False
01tv2ca73,Laboratoire de Spectrochimie Infrarouge et Raman,False
05hby3g70,"Laboratory for Language, Brain and Cognition",False
024mt9310,Languages and Cultures of Sub-Saharan Africa,True
016gvpq28,Alimentation et Sciences Sociales,True
04qgfge56,Laboratory of Organic Synthesis,False
05mqemx33,Laboratory of Medical Information Processing,False
014n97s28,Materials and Physical Engineering Laboratory,True
030p0rb34,Andrology Gerontechnology Inflammation Modelisation,True
02bq56641,Archéologie et Archéométrie,True
059xs3104,Archéorient,True
02w4exq36,Genetic Improvement and Adaptation of Mediterranean and Tropical Plants,True
008pt4x48,Laboratoire des Matériaux Surfaces et Procédés pour la Catalyse,False
03j82q602,Archéozoologie et Archéobotanique,False
04jm8zw14,Architecture et Fonction des Macromolécules Biologiques,True
01sjmsj73,"AGroecologies, Innovations & Ruralities",False
059eam965,Laboratory of Therapeutic Applications of Ultrasound,True
0266kfd37,Laboratoire des Sciences et Techniques de l’Information de la Communication et de la Connaissance,False
0060xzr04,Bioénergétique et Ingénierie des Protéines,False
00qm1ye08,Centre for Material Forming,False
0028p8r67,Laboratoire Hubert Curien,False
007xqmx73,Archéologie et Histoire Ancienne : Méditerranée – Europe,False
02n399288,"Laboratoire Informatique d'Avignon",True
00jv0wy06,Structural and Molecular Basis of Infectious Systems,False
05nsvn336,Archéologie et Philologie d’Orient et d’Occident,True
02b6c1039,Laboratoire Interdisciplinaire Carnot de Bourgogne,False
03kc13263,Geosciences and Geoengineering Research Department,False
058t6p923,Leprince-Ringuet Laboratory,True
0334tmt82,"Centre d'Economie et de Sociologie Appliquées à l'Agriculture et aux Espaces Ruraux",False
036mest28,Biology of Extremophiles Laboratory,False
002jby155,Centre Bourgogne-Franche-Comté,False
0375b8f90,"Centre d'Immunologie et des Maladies Infectieuses",False
020cdve92,Centre de Recherche en Informatique,False
03a84yw54,"Centre d'Enseignement et de Recherche en Environnement Atmosphérique",False
00a8p0m24,Center for the Sociology of Innovation,True
044j5mm75,"Centre d'Etudes et De Recherche en Informatique et Communications",True
039aqbp11,Laboratoire Génie de Production,False
01b8mj511,Laboratoire Interdisciplinaire pour la Sociologie Economique,True
029hkd614,Laboratoire Navier,True
01273vs09,Laboratoire de Radiopharmaceutiques Biocliniques,False
038sy2k93,Laboratoire Génie et Matériaux Textiles,False
015gaxx73,"Laboratoire Optimisation de la Conception et Ingénierie de l'Environnement",False
04vg26t07,"Nanosciences et Innovation pour les Matériaux, la Biomédecine et l'Énergie",True
0455wwj08,Laboratoire Génie Industriel,False
01dadvw90,"Institut de Systématique, Évolution, Biodiversité",False
04bgbbh33,Institut Universitaire des Systèmes Thermiques Industriels,False
038207k30,Plant Genome and Development Laboratory,False
04w8f9k94,Maison des Sciences de l’Homme et de l‘Environnement Claude Nicolas Ledoux,False
0274zdr66,Laboratoire Jean-Alexandre Dieudonné,False
043n4fm24,Laboratoire Paul Painlevé,False
02cf97417,Heteroelements and Coordination Chemistry Lab,True
01ghvgs84,Laboratoire Jean Perrin,True
017jp7t31,Processes and Engineering in Mechanics and Materials,False
01gan4k05,Catalysis and Spectrochemistry Laboratory,True
000n0fx93,Laboratory Receptors and Membrane Ion Channels,False
023ffhx15,Laboratoire Roberval,True
01ed4t417,Centre for Research in Epidemiology and Population Health,True
0084x3h80,Centre for Astronomical Reseach of Lyon,False
036yvb369,Center for Research in Management,False
02byv2846,"Fluides, Automatique et Systèmes Thermiques",True
03p3f6k20,"Microbiology, Adaptation and Pathogenesis Lab",False
00aycez97,Laboratory HydroSciences Montpellier,False
052d1cv78,Genetique Reproduction and Developpement,True
04kzzpx53,Puce Muse / Espace Musical,False
01cy4tj56,Center for Research in Neurobiology and Neurophysiology of Marseille,True
0300mzg60,Integrated Genomics and Metabolic Diseases Modeling,True
04kcjtk03,"Identités et Différenciation de l'Environnement des Espaces et des Sociétés",False
00e4pqm50,Laboratoire de Géographie Physique et Environnementale,False
03bpcga21,Evolution des Régulations Endocriniennes,True
051k70002,Evolutionary Biology and Ecology of Algae,False
01kvxx237,Fédération de Recherche FCLAB,True
041v2hk34,"Immunologie, Immunopathologie et Chimie Thérapeutique",True
01h0a3k64,Laboratoire de Génétique & Evolution des Populations Végétales,True
00vcrsw96,Génétique et Immunologie des Maladies Parasitaires,True
04fc8dp24,Medical Genetics & Functional Genomics,False
02wycgj20,"Molécules d'Intérêt Biologique",False
04qq0qp34,Laboratoire du Futur,False
03bcdsr62,"Sols, Solides, Structures, Risques",True
031ve0e22,"Systematics, Adaptation, Evolution",False
04zza3s31,Risques Travail Marchés Etat,True
000063q30,Techniques of Informatics and Microelectronics for Integrated Systems Architecture,True
03e044190,Spintronique et Technologie des Composants,False
00wcvf151,Centre Paul Albert-Février,False
02g6y2720,Unité de Glycobiologie Structurale et Fonctionnelle,True
04q9vef57,Ecology of Guianan Forests,True
05n21n105,"Unit of Mathematics, Pure and Applied",False
053kxkj53,Unité Mixte Internationnale de Modélisation Mathématique et Informatiques des Systèmes Complèxes,True
058z3vf87,Gulliver,False
04d3p2m17,Ion Channel and Synaptic Neurobiology Laboratory,True
03w1ffx74,Unit of Neuroscience Information and Complexity,False
03s92mv58,Geosciences Paris Sud,True
00pykk203,"Laboratoire Ingénierie, Procédés, Aliments",False
02c6p9834,Physiologie de la Reproduction et des Comportements,True
00vfxg105,Santé et Agroécologie du Vignoble,False
0024c1w94,Plants and Cropping Systems in Horticulture,True
0229z0679,"Milieux Environnementaux, Transferts et Interactions dans les Hydrosystèmes et les Sols",True
04qsvhr24,Soil Science Research Unit,False
01ws78v34,Research Unit on Infectious and Emerging Tropical Diseases,False
00ccpdp17,Biologie du Fruit et Pathologie,True
00b4q1853,Nanomatériaux Pour les Systèmes Sous Sollicitations Extrêmes,False
03d1jma17,Biologie Fonctionnelle Insectes et Interactions,False
03kk92g72,Genetics and Improvement of Fruit and Vegetables,True
00rt27171,Dynamique des Interactions Membranaires Normales et Pathologiques,False
01dz5cg19,Laboratoire de Virologie Moléculaire et Structurale,True
03atqv648,Integrative Physics and Physiology of Fruit and Forest Trees,False
0293jn610,Adaptation and Diversity in the Marine Environment,False
041tgdz97,Adaptative Mechanisms & Evolution,False
030jm0n16,"Proche-Orient, Caucase : Langues, Archéologie, Cultures",False
00r8amq78,"LIttoral, ENvironment and Societies",True
031xg0236,Virology and Human Pathology,False
05xtktk35,GeoAzur,False
04qhwn476,Centre Georg Simmel,False
05afmzm11,Verimag,False
03sypqe31,"Systèmes Membranaires, Photobiologie, Stress et Détoxication",True
01w0hda30,Laboratoire de Physique Théorique,True
00vxck708,Unité de Recherche Agrosystèmes tropicaux,False
01gje7n16,"Laboratory Glycochemistry, of Antimicrobials and Agroressources",True
03ck9wz82,"Laboratoire Sciences de l'Univers au Cerfacs",False
04e3ktk27,Laboratoire de Recherche en Informatique,True
04ett5b41,Laboratoire Jean Kuntzmann,True
03jhvx342,RMN Biomédicale et Neurosciences,False
00nrbzg90,Laboratoire Univers et Particules de Montpellier,True
047fwb937,Biotechnologie et Signalisation Cellulaire,False
03c2k2909,Groupe de Physique des Matériaux,False
04damed73,Laboratory of Mechanical Systems and Concurrent Engineering,True
018r7pa17,Institute of Systems & Synthetic Biology,False
05mv3tj33,"Observatoire des Sciences de l'Univers de la Réunion",True
040bzgy82,"Observatoires des Sciences de l'Univers",False
04phmsq76,Imagerie par Résonance Magnétique Médicale et Multi-Modalités,False
03zt3va85,Institut de Paléontologie Humaine,False
013yean28,"Montpellier Laboratory of Informatics, Robotics and Microelectronics",False
03wxndv36,Centre de Recherche Saint-Antoine,False
05qpmg879,Institute for Molecular and Cellular Biology,False
058hz8544,Institute for Cognitive Science,False
055ss7a31,Physical Chemistry Curie,False
03fkrcm40,Centre Occitanie-Montpellier,False
01vnn4t89,Laboratoire de Statistique Théorique et Appliquée,True
03x8fem72,"Laboratoire Image, Ville, Environnement",False
02vnq7240,Laboratoire Magmas et Volcans,True
03d6rdf69,"Laboratoire de Mathématiques Analyse, Probabilités, Modélisation Orléans",False
02ahzca76,"Laboratoire d'Ingénierie Circulation Transports",True
011gea244,Laboratoire Méditerranéen de Préhistoire Europe Afrique,False
02t1cke57,"Laboratoire de Photochimie et d'Ingénierie Macromoléculaire",True
00tepxj95,Laboratory for Vectorology in Anticancer Therapy,False
05vd6h165,Laboratoire des Biomolécules,True
03r7eh527,Laboratoire de Photophysique et Photochimie Supramoléculaires et Macromoléculaires,False
039yyx623,"Institut des Sciences et Technologies Moléculaires d'Angers",False
03fd87035,Laboratoire Motricité Humaine Éducation Sport Santé,False
00c3ktd57,Laboratoire de PhysioMédecine Moléculaire,True
03cfem402,Laboratoire des Multimatériaux et Interfaces,True
039aqbp11,Laboratoire Génie de Production,False
01b8mj511,Laboratoire Interdisciplinaire pour la Sociologie Economique,True
029hkd614,Laboratoire Navier,False
01273vs09,Laboratoire de Radiopharmaceutiques Biocliniques,False
038sy2k93,Laboratoire Génie et Matériaux Textiles,True
015gaxx73,"Laboratoire Optimisation de la Conception et Ingénierie de l'Environnement",True
0452rtt80,Laboratoire de Neurobiologie Cellulaire et Moléculaire,True
04310tc15,Laboratoire de Cristallographie et Sciences des Matériaux,False
03f0apy98,Laboratory of Subatomic Physics and Cosmology,False
0232zwb84,CIRP,False
02cd98b83,Center for Southeast Asian Studies,False
05trpty44,Clinique Saint Jean Languedoc,True
035mqrn57,Center for the Sociology of Organizations,False
02m0hy518,"Laboratoire d'études sur les monothéismes",True
00tmb7y09,Laboratoire de Chimie Théorique,False
02b5vq778,Laboratory of Computer Science and Automatic Control for Systems,True
006z7v557,"Laboratory of Industrial and Human Automation Control, Mechanical Engineering and Computer Science",False
04hnkx132,Innovation Plasturgie Composites,False
03m6mkf15,Centre de Haute Energie,True
00deg7n09,Centre de Radiothérapie Bayard,False
00q5sq874,Centre de Réadaptation Cardiaque Les Grands Prés,False
05s3njy52,"Agence de l'Eau Seine Normandie",True
02q8k0k97,Fondation Centaure,True
05gnhhg32,Carilene,True
028z16q57,Institut de Biotechnologies Jacques Boy,True
00a78nr16,Laboratoire de la Mer,False
01g087661,AR2i,True
05xry8z31,Evaux Laboratoires,True
01e89dr28,BFA Laboratoires,False
03a05sb88,Laboratoires i2m,False
0014hfa49,Institut Clinident,False
024h0z890,Institut Génétique Nantes Atlantique,False
03crmsn52,Institut de Recherche Technologique SystemX,False
00kcehz97,French Corrosion Institute,False
01vmb7766,Laboratoire Phytoceutic,False
03x3b8v35,Institut Maupertuis,False
02k1h3369,Institut de Recherche Fondamentale en Technologies Solaire,False
01cmnv018,Institut des Neurosciences Cliniques de Rennes,False
03yn44v82,Institut Georges Lopez,False
04eq4yv25,Institut Regional Des Materiaux Avance,True
03fz9ws15,Institute Of Science De La Vision,False
039ztcx57,Institut de Recherche en Hématologie et Transplantation,False
01ph4hz96,"Institut Technique de l'Aviculture",False
0218s1743,Institut Technique de Développement des Produits de la Mer,False
